地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/01/22,00:01:51.1,能登半島沖,37°32.0′N,137°26.0′E,12 km,1.1,---
2024/01/22,00:03:49.3,鳥島近海,29°55.0′N,142°28.0′E,51 km,4.1,---
2024/01/22,00:05:19.1,伊予灘,33°43.0′N,131°55.0′E,74 km,1,---
2024/01/22,00:05:36.7,石川県能登地方,37°27.0′N,137°15.0′E,12 km,1.2,---
2024/01/22,00:07:54.2,石川県能登地方,37°22.0′N,136°53.0′E,0 km,1.3,---
2024/01/22,00:08:41.0,能登半島沖,37°25.0′N,136°60.0′E,0 km,1.6,---
2024/01/22,00:10:24.0,佐渡付近,37°53.0′N,137°42.0′E,21 km,1.7,---
2024/01/22,00:11:09.2,徳島県南部,33°45.0′N,134°16.0′E,9 km,0.3,---
2024/01/22,00:11:12.1,石川県能登地方,37°22.0′N,136°54.0′E,8 km,1.7,---
2024/01/22,00:12:15.4,新潟県上中越沖,37°39.0′N,137°36.0′E,16 km,1.9,---
2024/01/22,00:12:41.6,石川県能登地方,37°22.0′N,136°54.0′E,7 km,1.4,---
2024/01/22,00:13:40.6,能登半島沖,37°32.0′N,137°9.0′E,8 km,0.8,---
2024/01/22,00:14:10.3,和歌山県北部,34°7.0′N,135°14.0′E,4 km,0.6,---
2024/01/22,00:15:00.1,長野県北部,36°46.0′N,138°32.0′E,1 km,1.1,---
2024/01/22,00:15:32.0,石川県能登地方,37°22.0′N,136°54.0′E,2 km,0.7,---
2024/01/22,00:17:11.3,福島県沖,37°49.0′N,141°36.0′E,49 km,1.7,---
2024/01/22,00:17:55.0,石川県能登地方,37°24.0′N,136°49.0′E,2 km,1.1,---
2024/01/22,00:18:11.2,石川県能登地方,37°30.0′N,137°13.0′E,11 km,2,---
2024/01/22,00:18:16.4,熊本県熊本地方,32°42.0′N,130°43.0′E,15 km,-10.2,---
2024/01/22,00:18:50.8,伊勢湾,34°38.0′N,136°60.0′E,340 km,3,---
2024/01/22,00:19:34.9,石川県能登地方,37°27.0′N,137°15.0′E,14 km,0.9,---
2024/01/22,00:20:16.4,福島県沖,37°39.0′N,142°6.0′E,34 km,1.8,---
2024/01/22,00:21:27.0,伊勢湾,34°46.0′N,136°44.0′E,16 km,0.6,---
2024/01/22,00:22:11.2,石川県能登地方,37°18.0′N,136°47.0′E,10 km,0.8,---
2024/01/22,00:24:07.6,石川県能登地方,37°11.0′N,136°53.0′E,13 km,1.1,---
2024/01/22,00:24:28.9,石川県能登地方,37°25.0′N,137°11.0′E,12 km,1.4,---
2024/01/22,00:26:31.3,宮城県沖,38°59.0′N,142°45.0′E,8 km,2.2,---
2024/01/22,00:30:40.4,石川県能登地方,37°12.0′N,136°45.0′E,10 km,1.2,---
2024/01/22,00:31:45.1,石川県能登地方,37°24.0′N,137°5.0′E,9 km,1,---
2024/01/22,00:33:23.3,青森県東方沖,41°16.0′N,142°13.0′E,55 km,0.9,---
2024/01/22,00:37:28.5,八丈島東方沖,33°36.0′N,140°27.0′E,54 km,2,---
2024/01/22,00:40:42.5,佐渡付近,37°47.0′N,137°41.0′E,19 km,2.2,---
2024/01/22,00:41:38.2,福島県沖,37°52.0′N,141°37.0′E,48 km,1.4,---
2024/01/22,00:43:30.2,高知県東部,33°30.0′N,134°10.0′E,29 km,0.7,---
2024/01/22,00:44:31.8,石川県能登地方,37°23.0′N,137°3.0′E,5 km,0.8,---
2024/01/22,00:45:15.8,石川県能登地方,37°28.0′N,137°11.0′E,12 km,1.3,---
2024/01/22,00:45:34.2,三重県北部,35°6.0′N,136°33.0′E,13 km,0.9,---
2024/01/22,00:46:25.2,石川県能登地方,37°11.0′N,136°56.0′E,9 km,0.1,---
2024/01/22,00:48:11.1,熊本県熊本地方,32°23.0′N,130°41.0′E,8 km,-10.2,---
2024/01/22,00:48:16.4,能登半島沖,37°8.0′N,136°40.0′E,10 km,1.4,---
