地震の発生日時,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/09/19 00:00:58.4,和歌山県北部,34.141666666666666,135.17166666666665,4,-10.5,-
2024/09/19 00:02:08.6,石川県能登地方,37.361666666666665,136.785,12,0.2,-
2024/09/19 00:02:51.6,薩摩半島西方沖,30.966666666666665,129.80166666666668,8,1.2,-
2024/09/19 00:07:16.5,茨城県北部,36.72,140.62833333333333,6,-10.2,-
2024/09/19 00:07:23.0,長野県南部,35.946666666666665,137.705,10,1.8,-
2024/09/19 00:07:35.5,長野県南部,35.946666666666665,137.70666666666668,9,1.6,-
2024/09/19 00:08:50.6,奈良県,34.45166666666667,136.135,375,2.4,-
2024/09/19 00:09:52.3,与那国島近海,23.925,122.42,20,4.8,-
2024/09/19 00:11:23.6,長野県南部,35.965,137.64833333333334,10,-10.5,-
2024/09/19 00:11:57.2,福島県中通り,37.016666666666666,140.59333333333333,9,-10.1,-
2024/09/19 00:15:06.0,福島県沖,37.13333333333333,142.22833333333332,18,1.4,-
2024/09/19 00:19:24.4,石川県能登地方,37.208333333333336,136.80666666666667,7,0.2,-
2024/09/19 00:20:20.4,石川県能登地方,37.35166666666667,136.90666666666667,9,0.6,-
2024/09/19 00:21:40.8,岩手県沿岸北部,39.70166666666667,141.855,48,0.1,-
2024/09/19 00:26:04.2,青森県東方沖,41.01,142.00666666666666,58,1.4,-
2024/09/19 00:26:43.1,愛媛県南予,33.375,132.64833333333334,41,0.5,-
2024/09/19 00:27:30.0,宮城県沖,37.85666666666667,142.435,22,1.7,-
2024/09/19 00:30:51.1,石川県能登地方,37.17333333333333,136.82166666666666,10,0.6,-
2024/09/19 00:33:21.1,福島県沖,37.33166666666666,141.72166666666666,39,2.6,-
2024/09/19 00:37:04.7,能登半島沖,37.535,137.3,15,1.2,-
2024/09/19 00:38:55.3,福島県沖,37.291666666666664,141.69166666666666,40,1.1,-
2024/09/19 00:39:04.1,瀬戸内海中部,34.04333333333334,133.42166666666665,14,1.1,-
2024/09/19 00:44:46.7,和歌山県北部,34.155,135.19833333333332,6,-10.6,-
2024/09/19 00:45:10.8,鹿児島県薩摩地方,32.086666666666666,130.49333333333334,6,0.1,-
2024/09/19 00:47:44.0,栃木県南部,36.27,139.78333333333333,58,0.3,-
2024/09/19 00:48:12.6,岩手県沖,39.156666666666666,142.42333333333335,22,0.8,-
2024/09/19 00:51:23.5,豊後水道,32.971666666666664,132.05,45,0.9,-
2024/09/19 00:52:16.5,石川県能登地方,37.388333333333335,137.12166666666667,12,0.4,-
2024/09/19 00:54:28.3,三重県中部,34.751666666666665,136.5,17,0.5,-
2024/09/19 00:55:09.8,富山県西部,36.93,136.98333333333332,5,0.2,-
2024/09/19 00:57:10.6,青森県西方沖,41.10666666666667,139.28166666666667,35,2.5,-
2024/09/19 00:58:07.0,石川県能登地方,37.24333333333333,136.86666666666667,12,0.3,-
2024/09/19 00:59:07.4,石川県能登地方,37.23166666666667,136.81166666666667,7,-10.1,-
2024/09/19 01:02:46.5,福島県会津,37.03,139.38666666666666,8,0.5,-
2024/09/19 01:04:32.8,福島県沖,37.83,141.60166666666666,49,1.2,-
2024/09/19 01:05:24.2,茨城県沖,36.251666666666665,140.93666666666667,42,1.8,-
2024/09/19 01:05:30.8,根室半島南東沖,43.041666666666664,145.66166666666666,76,1,-
2024/09/19 01:06:21.5,富山湾,37.38666666666666,137.35166666666666,12,1.1,-
2024/09/19 01:08:36.3,和歌山県北部,34.178333333333335,135.4,6,0.1,-
2024/09/19 01:09:13.9,福島県沖,37.83833333333333,141.60833333333332,51,1.2,-
2024/09/19 01:09:32.5,鳥取県中部,35.365,133.87666666666667,9,-10.5,-
2024/09/19 01:11:40.2,福島県沖,37.30166666666667,142.22833333333332,15,1.3,-
