地震の発生日時,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/01/31 00:00:05.8,福島県沖,37.41833333333334,141.80666666666667,39,1.2,-
2024/01/31 00:00:27.1,石川県能登地方,37.47666666666667,137.26333333333332,13,2,-
2024/01/31 00:02:56.3,石川県能登地方,37.385,136.95166666666665,11,1.1,-
2024/01/31 00:04:33.6,長野県中部,36.095,138.00833333333333,9,-10.5,-
2024/01/31 00:04:50.5,石川県能登地方,37.45666666666666,137.24333333333334,13,0.6,-
2024/01/31 00:05:11.1,石川県能登地方,37.306666666666665,136.81,9,0.9,-
2024/01/31 00:10:24.4,紀伊水道,33.75333333333333,135.15833333333333,40,0.2,-
2024/01/31 00:10:40.6,茨城県沖,36.01166666666666,141.37666666666667,20,1.3,-
2024/01/31 00:10:52.5,能登半島沖,37.126666666666665,136.7,7,0.4,-
2024/01/31 00:11:20.9,石川県能登地方,37.475,137.26833333333335,12,0.5,-
2024/01/31 00:13:30.9,石川県能登地方,37.215,136.72166666666666,8,0.8,-
2024/01/31 00:15:49.1,石川県能登地方,37.39333333333333,137.075,7,0.6,-
2024/01/31 00:16:10.8,豊後水道,33.00833333333333,132.26666666666668,31,0.5,-
2024/01/31 00:17:03.0,能登半島沖,37.568333333333335,137.39166666666668,6,0.8,-
2024/01/31 00:17:43.9,佐渡付近,37.906666666666666,137.74833333333333,16,1.4,-
2024/01/31 00:19:32.3,石川県能登地方,37.45,137.13333333333333,12,0.7,-
2024/01/31 00:19:53.9,石川県能登地方,37.376666666666665,136.94833333333332,8,1.2,-
2024/01/31 00:20:08.8,石川県能登地方,37.35666666666667,137.00833333333333,5,0.7,-
2024/01/31 00:22:53.7,能登半島沖,37.125,136.675,5,0.2,-
2024/01/31 00:23:47.7,和歌山県北部,33.87166666666667,135.22333333333333,8,-10.3,-
2024/01/31 00:24:52.7,石川県能登地方,37.48,137.21166666666667,10,1.3,-
2024/01/31 00:25:41.3,石川県能登地方,37.17666666666667,136.71166666666667,9,0.4,-
2024/01/31 00:27:00.6,石川県能登地方,37.32666666666667,136.895,9,0.8,-
2024/01/31 00:28:10.6,佐渡付近,37.86,137.71666666666667,1,0.7,-
2024/01/31 00:30:14.4,石川県能登地方,37.248333333333335,136.77666666666667,9,0.3,-
2024/01/31 00:30:28.0,石川県能登地方,37.41833333333334,137.01333333333332,1,0.7,-
2024/01/31 00:32:10.6,能登半島沖,37.51833333333333,137.22833333333332,9,0.1,-
2024/01/31 00:33:19.1,福島県沖,37.833333333333336,141.62333333333333,48,0.9,-
2024/01/31 00:34:06.0,能登半島沖,37.10166666666667,136.59666666666666,8,2.6,-
2024/01/31 00:36:09.8,沖縄本島近海,25.961666666666666,127.535,41,1.5,-
2024/01/31 00:36:35.1,大隅半島東方沖,31.291666666666668,131.68166666666667,15,0.2,-
2024/01/31 00:37:37.7,福島県沖,37.145,141.93666666666667,20,1.3,-
2024/01/31 00:40:23.7,石川県能登地方,37.486666666666665,137.23666666666668,8,0.3,-
2024/01/31 00:41:50.8,石川県能登地方,37.04333333333334,136.75,6,0,-
