地震の発生日時,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/01/13 00:01:15.6,石川県能登地方,37.18666666666667,136.69,5,1.2,-
2024/01/13 00:05:14.0,佐渡付近,37.795,137.71666666666667,17,1.9,-
2024/01/13 00:05:32.9,宮城県沖,38.185,141.71,51,2.1,-
2024/01/13 00:06:26.3,網走沖,44.16,144.53833333333333,161,1.6,-
2024/01/13 00:08:54.6,福島県沖,37.36666666666667,141.98333333333332,31,1.2,-
2024/01/13 00:12:00.1,三陸沖,38.07333333333333,143.01833333333335,3,1.3,-
2024/01/13 00:13:01.6,石川県能登地方,37.31333333333333,136.93833333333333,12,1,-
2024/01/13 00:16:14.6,石川県能登地方,37.32833333333333,136.87166666666667,9,1.1,-
2024/01/13 00:16:58.6,能登半島沖,37.593333333333334,137.23166666666665,12,1.4,-
2024/01/13 00:18:29.4,佐渡付近,37.91,137.745,23,2.2,-
2024/01/13 00:19:17.8,石川県能登地方,37.16833333333334,136.77166666666668,7,0.8,-
2024/01/13 00:19:24.4,佐渡付近,37.94,137.71666666666667,19,1.3,-
2024/01/13 00:20:01.8,宮城県沖,38.70333333333333,142.25333333333333,42,2.1,-
2024/01/13 00:21:04.3,佐渡付近,37.79333333333334,137.56666666666666,20,2.5,-
2024/01/13 00:23:27.8,秋田県内陸北部,40.096666666666664,140.62666666666667,6,1.6,-
2024/01/13 00:24:17.3,石川県能登地方,37.195,136.87166666666667,7,0.8,-
2024/01/13 00:24:23.0,石川県能登地方,37.49666666666667,137.22333333333333,6,2,-
2024/01/13 00:24:42.0,秋田県内陸北部,40.096666666666664,140.615,5,-1,-
2024/01/13 00:25:13.9,石川県能登地方,37.435,137.05666666666667,10,1.7,-
2024/01/13 00:25:49.1,房総半島南方沖,34.29333333333334,140.035,48,1.3,-
2024/01/13 00:26:52.0,石川県能登地方,37.165,136.69333333333333,7,1.5,-
2024/01/13 00:28:14.8,宮古島近海,24.768333333333334,124.57166666666667,17,1.9,-
2024/01/13 00:28:33.8,能登半島沖,37.20333333333333,136.65166666666667,4,0.9,-
2024/01/13 00:29:36.1,佐渡付近,37.91166666666667,137.73,24,2.4,-
2024/01/13 00:30:49.3,佐渡付近,37.915,137.74166666666667,19,2.3,-
2024/01/13 00:30:54.5,石川県能登地方,37.46666666666667,137.26333333333332,13,-1,-
2024/01/13 00:31:22.5,石川県能登地方,37.24166666666667,136.86166666666668,13,1.9,-
2024/01/13 00:31:57.7,十勝沖,41.62833333333333,143.98666666666668,19,2,-
2024/01/13 00:33:47.3,石川県能登地方,37.16,136.745,6,1.4,-
2024/01/13 00:34:07.7,能登半島沖,37.07333333333333,136.71833333333333,3,0.9,-
2024/01/13 00:35:25.9,石垣島近海,24.683333333333334,124.075,19,0.2,-
2024/01/13 00:35:27.1,石川県能登地方,37.21666666666667,136.735,4,1.1,-
2024/01/13 00:37:03.9,石川県能登地方,37.22,136.84833333333333,9,0.8,-
2024/01/13 00:40:48.9,石川県能登地方,37.291666666666664,136.805,9,1.3,-
2024/01/13 00:41:33.1,宮城県沖,37.995,141.70833333333334,55,0.4,-
2024/01/13 00:41:52.2,三宅島近海,33.57,139.625,161,2.9,-
2024/01/13 00:42:27.3,宮城県沖,37.99,141.70333333333335,49,1.2,-
2024/01/13 00:42:55.5,能登半島沖,37.245,136.62666666666667,5,1.3,-
2024/01/13 00:45:19.6,茨城県北部,36.82,140.59166666666667,8,0.5,-
2024/01/13 00:48:37.8,石川県能登地方,37.46333333333333,137.15833333333333,13,0.9,-
2024/01/13 00:48:53.4,石川県能登地方,37.43,137.26333333333332,7,0.6,-
2024/01/13 00:49:55.6,石川県能登地方,37.32833333333333,136.88,9,1.3,-
2024/01/13 00:50:06.7,日向灘,32.735,131.99166666666667,43,3,-
2024/01/13 00:50:56.2,石川県能登地方,37.225,136.7,5,1.8,-
2024/01/13 00:52:45.0,滋賀県北部,35.288333333333334,135.91666666666666,14,1.3,-
2024/01/13 00:52:46.4,福島県沖,37.833333333333336,141.61333333333334,50,1.2,-
2024/01/13 00:54:50.1,石川県能登地方,37.47,137.14,11,1.7,-
2024/01/13 00:57:23.7,宮古島近海,25.188333333333333,125.57,25,1.9,-
2024/01/13 00:57:42.8,能登半島沖,37.12833333333333,136.655,5,0.7,-
2024/01/13 00:58:01.5,八丈島東方沖,32.33833333333333,141.95166666666665,74,4,-
2024/01/13 01:02:47.6,石川県能登地方,37.35166666666667,136.99333333333334,8,1,-
2024/01/13 01:03:36.9,能登半島沖,37.611666666666665,137.47333333333333,16,1.7,-
2024/01/13 01:03:40.7,福島県沖,37.855,141.57666666666665,49,3.4,-
2024/01/13 01:05:09.6,石川県能登地方,37.28,136.74,6,2.4,-
2024/01/13 01:08:38.0,福島県沖,37.50833333333333,141.325,31,1.3,-
2024/01/13 01:09:09.8,福島県沖,37.845,141.60833333333332,50,1,-
2024/01/13 01:09:25.9,台湾付近,24.005,121.435,58,2.5,-
2024/01/13 01:10:09.7,佐渡付近,37.97833333333333,137.76666666666668,25,2.7,-
2024/01/13 01:11:44.2,能登半島沖,37.41166666666667,136.86,3,1.1,-
2024/01/13 01:12:41.2,佐渡付近,37.885,137.74,23,1.5,-
2024/01/13 01:13:08.9,佐渡付近,37.745,137.71666666666667,16,2,-
2024/01/13 01:14:42.6,茨城県沖,36.39,141.03,37,1.2,-
2024/01/13 01:14:45.9,秋田県内陸北部,40.10333333333333,140.64166666666668,7,0.6,-
2024/01/13 01:15:19.6,沖縄本島近海,26.656666666666666,127.81,35,0.3,-
2024/01/13 01:15:38.3,石川県能登地方,37.22,136.73833333333334,11,1.8,-
2024/01/13 01:17:04.0,宮古島近海,24.766666666666666,124.57666666666667,18,1.3,-
2024/01/13 01:17:09.2,佐渡付近,37.92,137.72,25,2.2,-
2024/01/13 01:19:12.4,駿河湾,34.69,138.69166666666666,15,0.7,-
2024/01/13 01:20:42.0,新潟県上中越沖,37.638333333333335,137.56666666666666,25,1.9,-
2024/01/13 01:21:14.0,石川県能登地方,37.17166666666667,136.69666666666666,4,1,-
2024/01/13 01:22:42.9,富山湾,37.35333333333333,137.50166666666667,20,1.9,-
2024/01/13 01:22:55.5,佐渡付近,37.75833333333333,137.595,17,2,-
2024/01/13 01:23:16.7,宮城県沖,38.803333333333335,142.53333333333333,35,1.5,-
2024/01/13 01:24:31.2,佐渡付近,37.73,138.03833333333333,23,2,-
2024/01/13 01:25:37.5,能登半島沖,37.13666666666666,136.66,9,0.9,-
2024/01/13 01:30:54.7,茨城県沖,36.535,140.88833333333332,27,1.2,-
2024/01/13 01:31:22.4,石川県能登地方,37.29,136.76333333333332,7,1,-
2024/01/13 01:31:50.1,能登半島沖,37.236666666666665,136.70166666666665,8,1.2,-
2024/01/13 01:32:51.2,熊本県熊本地方,32.67166666666667,130.77,8,-1,-
2024/01/13 01:32:52.8,石川県能登地方,37.181666666666665,136.74166666666667,7,1.5,-
2024/01/13 01:33:16.3,熊本県熊本地方,32.68833333333333,130.74,13,0.1,-
2024/01/13 01:33:57.5,岐阜県美濃東部,35.78666666666667,137.39166666666668,7,1.1,-
2024/01/13 01:34:26.0,福島県沖,37.35166666666667,141.99666666666667,31,1,-
2024/01/13 01:35:17.4,石川県能登地方,37.525,137.29666666666665,11,1.6,-
2024/01/13 01:36:08.2,青森県東方沖,41.455,143.14833333333334,27,2.4,-
2024/01/13 01:37:54.9,石川県能登地方,37.285,136.945,12,1.1,-
2024/01/13 01:37:55.3,長野県南部,35.91,138.155,4,0.3,-
2024/01/13 01:42:40.7,石川県能登地方,37.026666666666664,136.83833333333334,3,0.4,-
2024/01/13 01:43:36.0,能登半島沖,37.085,136.64,7,0.9,-
2024/01/13 01:44:17.3,上川地方中部,43.82833333333333,142.89833333333334,205,2.5,-
2024/01/13 01:46:31.6,熊本県熊本地方,32.555,130.58333333333334,8,0.8,-
2024/01/13 01:47:11.3,佐渡付近,37.913333333333334,137.69166666666666,18,2,-
2024/01/13 01:48:57.7,能登半島沖,37.111666666666665,136.63833333333332,7,1.6,-
2024/01/13 01:49:42.7,岐阜県飛騨地方,35.873333333333335,137.19666666666666,5,0.3,-
2024/01/13 01:49:50.5,岐阜県飛騨地方,35.875,137.19833333333332,6,0.6,-
2024/01/13 01:49:55.8,福島県浜通り,36.906666666666666,140.65833333333333,9,-10.1,-
2024/01/13 01:51:39.2,石川県能登地方,37.46,137.24833333333333,14,0.9,-
2024/01/13 01:52:40.5,八丈島東方沖,33.73166666666667,140.69833333333332,45,1.9,-
2024/01/13 01:53:45.8,佐渡付近,37.77166666666667,137.62,17,1.5,-
2024/01/13 02:00:52.3,石川県能登地方,37.156666666666666,136.75666666666666,3,1,-
2024/01/13 02:02:20.3,石川県能登地方,37.19,136.90666666666667,13,1.8,-
2024/01/13 02:02:55.6,石川県能登地方,37.16833333333334,136.9,7,1,-
2024/01/13 02:03:45.5,石川県能登地方,37.483333333333334,137.17833333333334,11,2,-
2024/01/13 02:04:07.5,石川県能登地方,37.471666666666664,137.175,13,1.4,-
2024/01/13 02:09:57.9,福島県沖,37.24,141.90333333333334,38,1.4,-
2024/01/13 02:11:27.6,佐渡付近,37.958333333333336,137.76833333333335,24,1.3,-
2024/01/13 02:12:06.2,石川県能登地方,37.20666666666666,136.73,3,1,-
2024/01/13 02:14:03.1,熊本県天草・芦北地方,32.278333333333336,130.42,0,0.2,-
2024/01/13 02:16:39.4,佐渡付近,37.906666666666666,137.72666666666666,19,1.9,-
2024/01/13 02:19:05.1,熊本県熊本地方,32.77333333333333,130.78166666666667,11,0.2,-
2024/01/13 02:19:29.7,択捉島南東沖,44.333333333333336,149.02,30,4.5,-
2024/01/13 02:23:16.8,能登半島沖,37.218333333333334,136.66,7,1.6,-
2024/01/13 02:29:44.6,秋田県内陸北部,40.09166666666667,140.63166666666666,7,1.1,-
2024/01/13 02:30:06.8,茨城県沖,36.25,141.05666666666667,42,1.3,-
2024/01/13 02:32:55.3,能登半島沖,37.568333333333335,137.21833333333333,11,1,-
2024/01/13 02:32:55.3,長野県中部,36.00833333333333,138.095,5,-10.6,-
2024/01/13 02:34:13.7,能登半島沖,37.105,136.63666666666666,10,0.6,-
2024/01/13 02:34:19.2,佐渡付近,37.875,137.81166666666667,17,1.8,-
2024/01/13 02:35:03.2,佐渡付近,37.891666666666666,137.72833333333332,24,3,-
2024/01/13 02:36:13.5,富山県西部,36.36666666666667,136.82833333333335,9,1.2,-
2024/01/13 02:37:01.4,日高地方中部,42.266666666666666,142.60833333333332,29,0.6,-
2024/01/13 02:37:48.8,山梨県東部・富士五湖,35.75833333333333,138.99166666666667,122,0.6,-
2024/01/13 02:38:14.1,石川県能登地方,37.181666666666665,136.76,6,0.9,-
2024/01/13 02:38:26.2,佐渡付近,37.91833333333334,137.635,12,1.6,-
2024/01/13 02:39:44.7,佐渡付近,37.925,137.74833333333333,25,2.4,-
2024/01/13 02:44:03.3,宮城県沖,38.428333333333335,142.10333333333332,27,1.2,-
2024/01/13 02:44:09.9,石川県能登地方,37.361666666666665,137.07166666666666,9,1.1,-
2024/01/13 02:47:43.8,浦河沖,41.98166666666667,142.97666666666666,45,1.9,-
2024/01/13 02:47:58.3,石川県能登地方,37.44833333333333,137.27,14,1.2,-
2024/01/13 02:48:20.8,石川県能登地方,37.325,136.97666666666666,13,1.7,-
2024/01/13 02:49:25.3,佐渡付近,37.87,137.72833333333332,22,1.6,-
2024/01/13 02:51:14.1,石川県能登地方,37.248333333333335,136.755,0,0.8,-
2024/01/13 02:51:23.9,新潟県上中越沖,37.66833333333334,137.57166666666666,14,2.3,-
2024/01/13 02:53:32.5,長野県中部,36.44833333333333,138.06,7,-10.4,-
2024/01/13 02:54:19.7,八丈島東方沖,33.63666666666667,140.47333333333333,49,2.3,-
2024/01/13 02:56:48.1,岩手県内陸北部,39.568333333333335,141.17666666666668,92,0.5,-
2024/01/13 02:58:33.0,岐阜県飛騨地方,35.985,137.29666666666665,12,0.9,-
2024/01/13 02:58:34.6,能登半島沖,37.23,136.64833333333334,5,1.3,-
2024/01/13 02:58:49.0,佐渡付近,37.885,137.74166666666667,21,2.4,-
2024/01/13 02:59:16.3,福島県沖,37.85,141.575,49,1.4,-
2024/01/13 03:00:28.2,石川県能登地方,37.265,136.80833333333334,10,0.6,-
2024/01/13 03:00:28.6,福島県沖,37.875,141.52333333333334,46,1.1,-
2024/01/13 03:01:34.6,能登半島沖,37.345,136.71833333333333,5,1.3,-
2024/01/13 03:02:16.8,関東東方沖,35.055,141.98666666666668,5,2.9,-
2024/01/13 03:03:55.5,石川県能登地方,37.175,136.7,6,1.4,-
2024/01/13 03:06:03.0,石川県能登地方,37.36333333333334,137.02833333333334,13,2,-
2024/01/13 03:07:24.9,三陸沖,38.38666666666666,144.50166666666667,17,1.5,-
2024/01/13 03:07:41.2,石川県能登地方,37.225,136.81,7,1,-
2024/01/13 03:09:22.0,宮城県沖,38.53333333333333,141.745,51,2.4,-
2024/01/13 03:10:21.8,富山湾,37.00833333333333,137.51666666666668,18,1.3,-
2024/01/13 03:11:10.7,石川県能登地方,37.51166666666666,137.27333333333334,13,1.2,-
2024/01/13 03:14:41.5,石川県能登地方,37.30833333333333,136.74166666666667,6,0.7,-
2024/01/13 03:15:17.9,石川県能登地方,37.395,136.89,10,2,-
2024/01/13 03:15:39.3,石川県能登地方,37.291666666666664,136.77,7,1.4,-
2024/01/13 03:16:24.5,石川県能登地方,37.37833333333333,136.88333333333333,11,1.8,-
2024/01/13 03:18:34.3,佐渡付近,37.876666666666665,137.68666666666667,26,2.3,-
2024/01/13 03:21:26.0,佐渡付近,37.94,137.75,24,1.7,-
2024/01/13 03:23:04.6,福島県会津,37.60666666666667,140.08166666666668,3,0.4,-
2024/01/13 03:25:08.1,石川県能登地方,37.24166666666667,136.79333333333332,7,0.4,-
2024/01/13 03:25:47.8,石川県能登地方,37.515,137.30166666666668,11,1.7,-
2024/01/13 03:27:07.4,石川県能登地方,37.336666666666666,136.88666666666666,10,1.3,-
2024/01/13 03:28:22.9,石川県能登地方,37.15833333333333,136.765,2,1.4,-
2024/01/13 03:28:40.6,豊後水道,33.43,132.34,44,0.6,-
2024/01/13 03:28:47.2,有明海,32.845,130.57333333333332,13,0,-
2024/01/13 03:28:54.9,能登半島沖,37.218333333333334,136.68666666666667,12,1,-
2024/01/13 03:29:33.2,能登半島沖,37.233333333333334,136.66166666666666,5,2.7,-
2024/01/13 03:30:40.7,岩手県沿岸北部,40.01166666666666,141.92166666666665,50,0.5,-
2024/01/13 03:30:41.4,長野県南部,35.96,137.61833333333334,9,0.3,-
2024/01/13 03:31:05.1,石川県能登地方,37.16833333333334,136.75,4,2.6,-
2024/01/13 03:31:30.3,鳥取県東部,35.49166666666667,134.22,10,0.2,-
2024/01/13 03:38:25.8,石川県能登地方,37.35,136.88,7,1.5,-
2024/01/13 03:38:27.0,福島県会津,37.651666666666664,139.875,9,0.7,-
2024/01/13 03:40:26.0,福島県沖,37.248333333333335,141.87166666666667,33,-1,-
2024/01/13 03:40:58.2,石川県能登地方,37.405,136.97166666666666,8,1.4,-
2024/01/13 03:41:17.2,茨城県沖,36.46,141.03166666666667,40,1.1,-
2024/01/13 03:42:21.9,苫小牧沖,41.855,141.34166666666667,18,0.9,-
2024/01/13 03:43:20.1,宮古島近海,24.743333333333332,124.59,20,0.7,-
2024/01/13 03:46:03.7,和歌山県北部,34.17333333333333,135.38,8,0.5,-
2024/01/13 03:46:25.3,石川県能登地方,37.33,136.90833333333333,11,1.8,-
2024/01/13 03:46:56.4,天草灘,32.13333333333333,130.07,8,0.5,-
2024/01/13 03:48:24.8,石川県能登地方,37.39,137.015,11,2.3,-
2024/01/13 03:50:51.5,富山県西部,36.361666666666665,136.82666666666665,11,0.5,-
2024/01/13 03:52:01.3,石川県能登地方,37.38333333333333,136.99666666666667,9,1.5,-
2024/01/13 03:52:44.1,能登半島沖,37.12,136.725,4,1.9,-
2024/01/13 03:54:17.2,石川県能登地方,37.195,136.82666666666665,12,1.9,-
2024/01/13 03:54:24.3,天草灘,32.13333333333333,130.07166666666666,8,0.7,-
2024/01/13 03:55:16.0,石川県能登地方,37.20666666666666,136.785,0,0.9,-
2024/01/13 03:56:46.5,茨城県沖,36.24,140.99833333333333,42,1.7,-
