地震の発生日時,震央地名,緯度,経度,深さ,Ｍ,最大震度
2023/09/26 00:00:09.7,能登半島沖,37.64666666666667,137.265,9,0.9,-
2023/09/26 00:08:55.0,岩手県内陸南部,39.06333333333333,140.89,9,0.2,-
2023/09/26 00:09:40.0,岩手県内陸南部,39.10166666666667,141.27,106,0.7,-
2023/09/26 00:11:13.5,東京都多摩東部,35.58166666666666,139.46833333333333,21,0.3,-
2023/09/26 00:17:30.5,和歌山県北部,33.973333333333336,135.255,13,-10.2,-
2023/09/26 00:17:54.2,山梨県東部・富士五湖,35.47,138.99666666666667,25,0.4,-
2023/09/26 00:18:05.1,福島県沖,37.151666666666664,142.22,14,1.1,-
2023/09/26 00:18:33.4,石川県能登地方,37.52333333333333,137.25333333333333,15,0,-
2023/09/26 00:24:34.0,茨城県北部,36.815,140.59333333333333,9,0.8,-
2023/09/26 00:24:54.3,能登半島沖,37.63333333333333,137.345,7,0.3,-
2023/09/26 00:25:51.0,有明海,33.05,130.27,13,0.3,-
2023/09/26 00:27:44.2,岐阜県飛騨地方,36.315,137.62,6,-10.1,-
2023/09/26 00:32:19.5,茨城県沖,36.77166666666667,141.00166666666667,45,0.5,-
2023/09/26 00:35:07.1,種子島近海,30.86,130.18666666666667,157,1.9,-
2023/09/26 00:35:49.5,福島県会津,37.49333333333333,139.94333333333333,14,0.3,-
2023/09/26 00:36:28.0,八丈島東方沖,33.67666666666667,140.68166666666667,54,1.1,-
2023/09/26 00:39:03.5,関東東方沖,34.51166666666666,141.53333333333333,10,1.7,-
2023/09/26 00:43:07.8,石川県能登地方,37.50833333333333,137.25166666666667,12,1.1,-
2023/09/26 00:43:56.0,石川県能登地方,37.515,137.255,14,0.6,-
2023/09/26 00:57:26.9,岩手県沖,39.44,142.54666666666665,32,1.1,-
2023/09/26 00:58:27.4,福島県沖,37.83166666666666,141.60833333333332,48,0.8,-
2023/09/26 00:59:15.1,京都府沖,36.53,135.455,23,1.3,-
2023/09/26 01:00:12.1,和歌山県北部,34.14,135.33,6,0.2,-
2023/09/26 01:02:07.9,宮古島近海,24.68,125.18833333333333,32,1.2,-
2023/09/26 01:02:29.4,石川県能登地方,36.79,136.81666666666666,11,0.7,-
2023/09/26 01:02:43.2,根室半島南東沖,43.185,146.215,75,1.1,-
2023/09/26 01:04:44.1,福島県沖,37.84166666666667,141.60666666666665,49,1.3,-
2023/09/26 01:05:20.1,北海道北西沖,44.78333333333333,141.75666666666666,4,0.4,-
2023/09/26 01:06:18.8,福島県沖,37.31166666666667,142.30833333333334,19,1.3,-
2023/09/26 01:11:02.1,紀伊水道,33.8,134.90333333333334,15,0.8,-
2023/09/26 01:11:36.1,栃木県北部,37.138333333333335,139.86333333333334,9,0.4,-
2023/09/26 01:12:11.4,石川県加賀地方,36.45,136.70166666666665,11,0.4,-
2023/09/26 01:13:56.8,宮城県沖,38.556666666666665,141.98166666666665,36,1.3,-
2023/09/26 01:15:21.8,宮城県沖,37.821666666666665,142.49333333333334,22,1.5,-
2023/09/26 01:15:36.9,豊後水道,32.79333333333334,132.37166666666667,37,0.7,-
2023/09/26 01:16:13.8,山梨県中・西部,35.846666666666664,138.84333333333333,161,1,-
2023/09/26 01:17:37.3,鳥島近海,31.768333333333334,139.575,27,2.7,-
2023/09/26 01:18:03.2,福島県沖,37.141666666666666,142.22333333333333,19,1.5,-
2023/09/26 01:20:00.3,千葉県東方沖,35.78666666666667,140.955,22,1.2,-
2023/09/26 01:20:09.2,能登半島沖,37.605,137.26833333333335,7,0.5,-
2023/09/26 01:22:23.1,石川県能登地方,37.46666666666667,137.33166666666668,12,0.3,-
2023/09/26 01:27:28.8,長野県南部,35.37833333333333,138.04166666666666,8,1.2,-
2023/09/26 01:33:14.9,三宅島近海,33.57,138.81833333333333,11,2,-
2023/09/26 01:34:25.2,大分県北部,33.531666666666666,131.60833333333332,11,0.8,-
2023/09/26 01:38:29.4,浦河沖,41.85333333333333,143.11,35,1,-
2023/09/26 01:39:58.1,茨城県南部,36.39666666666667,140.15,103,0.5,-
2023/09/26 01:40:50.6,紀伊水道,34.166666666666664,135.10166666666666,8,0.3,-
2023/09/26 01:42:12.4,茨城県沖,36.33,141.04333333333332,47,1.3,-
2023/09/26 01:42:44.1,奄美大島近海,28.755,130.00166666666667,35,2.3,-
2023/09/26 01:43:57.2,群馬県南部,36.57833333333333,139.43666666666667,7,0,-
2023/09/26 01:44:51.4,国後島付近,43.656666666666666,145.68833333333333,163,1.8,-
2023/09/26 01:48:33.2,千葉県北西部,35.586666666666666,140.18333333333334,67,1.2,-
2023/09/26 01:54:52.3,宮城県沖,38.08166666666666,142.64333333333335,16,2.1,-
2023/09/26 01:59:25.2,宮城県沖,38.401666666666664,142.16833333333332,36,1,-
2023/09/26 02:01:22.3,能登半島沖,37.53,137.22166666666666,12,0.3,-
2023/09/26 02:02:54.7,長野県南部,35.858333333333334,137.66666666666666,11,-10.2,-
2023/09/26 02:05:54.3,紀伊水道,33.873333333333335,134.97833333333332,10,0.9,-
2023/09/26 02:08:06.5,宮城県沖,38.28666666666667,142.11666666666667,35,1.4,-
2023/09/26 02:08:26.7,石川県能登地方,37.5,137.21,9,0.2,-
2023/09/26 02:11:55.7,茨城県北部,36.25833333333333,140.455,47,0.2,-
