地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/02/26,00:00:17.5,北海道南西沖,42°15.0′N,139°29.0′E,9 km,0.9,---
2024/02/26,00:02:01.4,和歌山県北部,34°11.0′N,135°12.0′E,6 km,0.1,---
2024/02/26,00:04:33.2,石川県能登地方,37°19.0′N,136°54.0′E,11 km,1,---
2024/02/26,00:07:31.8,石川県能登地方,37°12.0′N,136°45.0′E,7 km,0.6,---
2024/02/26,00:09:42.1,能登半島沖,37°31.0′N,137°10.0′E,9 km,0.6,---
2024/02/26,00:10:37.3,茨城県沖,36°50.0′N,141°23.0′E,5 km,2.1,---
2024/02/26,00:12:12.1,石川県能登地方,37°27.0′N,137°7.0′E,8 km,1.9,---
2024/02/26,00:13:35.7,石川県能登地方,37°19.0′N,136°58.0′E,7 km,0.5,---
2024/02/26,00:14:41.5,石川県能登地方,37°22.0′N,136°54.0′E,5 km,0.7,---
2024/02/26,00:15:53.1,台湾付近,24°49.0′N,121°55.0′E,46 km,3.2,---
2024/02/26,00:16:03.6,石川県能登地方,37°15.0′N,136°49.0′E,9 km,0.4,---
2024/02/26,00:19:53.4,沖縄本島近海,26°16.0′N,127°54.0′E,15 km,1.9,---
2024/02/26,00:20:51.1,千島列島,45°45.0′N,149°37.0′E,175 km,3.1,---
2024/02/26,00:22:44.0,岩手県沿岸北部,39°58.0′N,141°56.0′E,49 km,0.5,---
2024/02/26,00:24:51.0,石川県能登地方,37°29.0′N,137°17.0′E,12 km,1.6,---
2024/02/26,00:26:13.9,能登半島沖,37°22.0′N,136°47.0′E,9 km,0.5,---
2024/02/26,00:26:29.6,茨城県沖,36°11.0′N,141°42.0′E,14 km,1.5,---
2024/02/26,00:26:29.7,岩手県内陸南部,38°60.0′N,140°53.0′E,5 km,0.9,---
2024/02/26,00:28:01.4,根室地方中部,43°25.0′N,145°15.0′E,129 km,1.2,---
2024/02/26,00:33:33.3,沖縄本島近海,25°57.0′N,128°42.0′E,34 km,2.6,---
2024/02/26,00:34:32.8,岐阜県美濃中西部,35°23.0′N,136°54.0′E,9 km,0.6,---
2024/02/26,00:36:08.3,長野県南部,35°51.0′N,138°2.0′E,7 km,-10.2,---
2024/02/26,00:36:18.5,佐渡付近,37°49.0′N,137°43.0′E,10 km,1.5,---
2024/02/26,00:39:40.6,福井県嶺南,35°34.0′N,135°58.0′E,4 km,0.2,---
2024/02/26,00:41:05.1,岩手県沖,39°38.0′N,142°8.0′E,46 km,0.6,---
2024/02/26,00:41:29.6,石川県能登地方,37°13.0′N,136°48.0′E,10 km,0.4,---
2024/02/26,00:43:38.4,宮崎県南部山沿い,31°57.0′N,130°53.0′E,0 km,-10.1,---
2024/02/26,00:45:11.1,十勝地方北部,43°35.0′N,143°45.0′E,8 km,1.1,---
2024/02/26,00:45:31.8,熊本県熊本地方,32°43.0′N,130°37.0′E,13 km,0.9,---
2024/02/26,00:45:53.0,十勝地方南部,42°26.0′N,143°13.0′E,31 km,0.6,---
2024/02/26,00:48:03.9,安芸灘,33°55.0′N,132°23.0′E,48 km,0.5,---
2024/02/26,00:50:10.2,能登半島沖,37°34.0′N,137°28.0′E,16 km,0.5,---
2024/02/26,00:53:18.8,石川県能登地方,37°21.0′N,136°49.0′E,11 km,0.9,---
2024/02/26,00:53:47.1,栃木県北部,36°39.0′N,139°26.0′E,7 km,0.6,---
2024/02/26,00:55:11.7,栃木県北部,36°40.0′N,139°26.0′E,7 km,0.4,---
2024/02/26,00:55:18.9,能登半島沖,37°15.0′N,136°39.0′E,8 km,1,---
2024/02/26,00:55:20.0,新潟県上中越沖,37°39.0′N,137°36.0′E,6 km,1.1,---
2024/02/26,00:59:04.3,栃木県北部,36°43.0′N,139°38.0′E,6 km,0,---
2024/02/26,00:59:43.6,十勝地方中部,42°55.0′N,142°59.0′E,20 km,1.9,---
2024/02/26,01:00:34.3,福島県沖,37°14.0′N,142°15.0′E,21 km,1.9,---
2024/02/26,01:00:42.9,紀伊水道,34°10.0′N,135°5.0′E,8 km,1.1,---
2024/02/26,01:00:52.5,石川県能登地方,37°19.0′N,136°57.0′E,11 km,0.9,---
