地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/02/08,00:01:08.8,和歌山県南方沖,33°24.0′N,135°11.0′E,37 km,0.1,---
2024/02/08,00:01:43.2,能登半島沖,37°33.0′N,137°21.0′E,3 km,0.5,---
2024/02/08,00:02:07.0,石川県能登地方,37°21.0′N,136°53.0′E,2 km,0.6,---
2024/02/08,00:03:44.5,岩手県沖,40°25.0′N,142°4.0′E,40 km,1,---
2024/02/08,00:05:26.1,石川県能登地方,37°10.0′N,136°43.0′E,4 km,0.3,---
2024/02/08,00:05:51.0,和歌山県北部,34°0.0′N,135°14.0′E,8 km,0.6,---
2024/02/08,00:08:42.8,和歌山県北部,34°0.0′N,135°13.0′E,8 km,0,---
2024/02/08,00:09:20.8,茨城県北部,36°50.0′N,140°36.0′E,6 km,-10.3,---
2024/02/08,00:09:37.3,石川県能登地方,37°20.0′N,136°56.0′E,11 km,0.4,---
2024/02/08,00:10:01.3,石川県能登地方,37°23.0′N,137°6.0′E,12 km,0.7,---
2024/02/08,00:11:13.9,瀬戸内海中部,34°2.0′N,133°4.0′E,13 km,0.9,---
2024/02/08,00:13:58.9,宮城県沖,38°20.0′N,142°9.0′E,38 km,1.7,---
2024/02/08,00:15:31.1,茨城県沖,36°10.0′N,141°3.0′E,26 km,3,---
2024/02/08,00:17:38.7,千葉県東方沖,35°38.0′N,140°45.0′E,47 km,0.8,---
2024/02/08,00:18:47.7,千葉県東方沖,35°39.0′N,140°45.0′E,46 km,1.2,---
2024/02/08,00:19:59.5,石川県能登地方,37°28.0′N,137°11.0′E,13 km,0.7,---
2024/02/08,00:24:36.0,福島県会津,37°23.0′N,139°39.0′E,7 km,0.8,---
2024/02/08,00:25:46.9,福島県会津,37°22.0′N,139°38.0′E,4 km,0.3,---
2024/02/08,00:27:13.4,茨城県沖,36°19.0′N,142°12.0′E,4 km,2.2,---
2024/02/08,00:28:38.6,石川県能登地方,37°14.0′N,136°46.0′E,6 km,0.6,---
2024/02/08,00:28:54.2,福島県沖,37°45.0′N,141°36.0′E,55 km,1.1,---
2024/02/08,00:34:51.6,宮崎県北部平野部,32°38.0′N,131°37.0′E,11 km,1.4,---
2024/02/08,00:36:18.9,能登半島沖,37°10.0′N,136°38.0′E,4 km,0.5,---
2024/02/08,00:36:31.7,福島県沖,37°42.0′N,141°45.0′E,51 km,2.4,---
2024/02/08,00:37:52.7,能登半島沖,37°11.0′N,136°40.0′E,9 km,0.5,---
2024/02/08,00:41:09.7,石川県能登地方,37°28.0′N,137°8.0′E,10 km,0.4,---
2024/02/08,00:45:37.3,石川県能登地方,37°13.0′N,136°44.0′E,11 km,3.3,---
2024/02/08,00:47:13.4,能登半島沖,37°34.0′N,137°13.0′E,4 km,0.9,---
2024/02/08,00:47:23.1,茨城県沖,36°31.0′N,141°40.0′E,22 km,1.6,---
2024/02/08,00:47:29.5,種子島近海,30°16.0′N,130°56.0′E,15 km,2.9,---
2024/02/08,00:49:49.9,神奈川県西部,35°31.0′N,139°17.0′E,111 km,1,---
2024/02/08,00:50:04.0,石川県能登地方,37°12.0′N,136°45.0′E,9 km,2.4,---
2024/02/08,00:51:19.9,福島県沖,37°46.0′N,141°36.0′E,56 km,0.8,---
2024/02/08,00:51:52.2,能登半島沖,37°25.0′N,136°37.0′E,11 km,1.5,---
2024/02/08,00:53:46.5,福島県沖,37°20.0′N,141°33.0′E,42 km,2.4,---
2024/02/08,00:53:55.7,石川県能登地方,37°18.0′N,136°48.0′E,3 km,0.9,---
2024/02/08,00:54:46.8,能登半島沖,37°24.0′N,136°36.0′E,13 km,0.7,---
2024/02/08,00:55:31.3,石川県能登地方,37°24.0′N,136°54.0′E,7 km,2,---
2024/02/08,00:57:05.8,石川県能登地方,37°27.0′N,137°15.0′E,14 km,0.8,---
2024/02/08,00:57:23.6,石川県能登地方,37°21.0′N,136°56.0′E,8 km,1.1,---
2024/02/08,00:57:25.7,福島県沖,37°47.0′N,141°36.0′E,52 km,1.2,---
2024/02/08,00:58:35.0,神奈川県西部,35°25.0′N,138°59.0′E,23 km,1.2,---
2024/02/08,00:59:46.2,茨城県北部,36°49.0′N,140°36.0′E,7 km,-10.3,---
2024/02/08,01:00:37.8,岩手県沖,39°58.0′N,142°2.0′E,11 km,2.4,---
2024/02/08,01:03:19.5,有明海,33°6.0′N,130°21.0′E,10 km,0.5,---
2024/02/08,01:03:42.3,広島県南東部,34°39.0′N,133°2.0′E,16 km,0.6,---
2024/02/08,01:06:18.8,岩手県沖,39°40.0′N,142°8.0′E,46 km,1.1,---
2024/02/08,01:07:22.2,石川県能登地方,37°22.0′N,136°53.0′E,6 km,1.7,---
2024/02/08,01:08:01.3,福島県沖,37°18.0′N,142°10.0′E,17 km,1.3,---
2024/02/08,01:09:28.2,能登半島沖,37°35.0′N,137°24.0′E,0 km,0.2,---
2024/02/08,01:11:55.0,茨城県沖,36°47.0′N,141°23.0′E,8 km,1.1,---
2024/02/08,01:13:18.0,伊豆大島近海,34°53.0′N,139°28.0′E,108 km,1.5,---
2024/02/08,01:13:19.3,長野県北部,36°34.0′N,137°51.0′E,7 km,0.4,---
2024/02/08,01:13:36.7,石川県西方沖,36°60.0′N,136°25.0′E,13 km,3.8,---
2024/02/08,01:13:39.1,岩手県沖,39°15.0′N,142°24.0′E,33 km,0.9,---
2024/02/08,01:15:24.1,石川県西方沖,37°0.0′N,136°25.0′E,9 km,1.6,---
2024/02/08,01:17:29.4,長野県中部,36°25.0′N,138°3.0′E,7 km,-10.4,---
2024/02/08,01:19:15.8,石川県西方沖,36°60.0′N,136°26.0′E,13 km,1.3,---
2024/02/08,01:19:34.5,石川県能登地方,37°17.0′N,136°48.0′E,0 km,1.3,---
2024/02/08,01:19:57.0,有明海,32°55.0′N,130°24.0′E,17 km,0.2,---
2024/02/08,01:20:15.8,熊本県熊本地方,32°44.0′N,130°39.0′E,13 km,0.1,---
2024/02/08,01:21:10.6,紀伊水道,34°6.0′N,135°6.0′E,7 km,0.4,---
2024/02/08,01:22:24.7,三重県南部,33°56.0′N,136°3.0′E,13 km,0.2,---
2024/02/08,01:23:37.3,石川県西方沖,37°5.0′N,136°35.0′E,9 km,1.8,---
2024/02/08,01:25:30.2,石川県能登地方,37°14.0′N,136°42.0′E,4 km,3.1,---
2024/02/08,01:26:11.2,福島県沖,37°20.0′N,141°50.0′E,41 km,1.1,---
2024/02/08,01:26:35.6,択捉島南東沖,44°14.0′N,147°34.0′E,0 km,2.6,---
2024/02/08,01:26:54.2,岩手県沖,39°58.0′N,142°2.0′E,11 km,2.3,---
2024/02/08,01:27:38.2,石川県西方沖,36°59.0′N,136°25.0′E,7 km,1.3,---
2024/02/08,01:28:32.3,石川県西方沖,37°0.0′N,136°25.0′E,11 km,1.8,---
2024/02/08,01:31:45.1,能登半島沖,37°15.0′N,136°44.0′E,9 km,0.9,---
2024/02/08,01:32:56.1,宮城県中部,38°17.0′N,140°32.0′E,140 km,1.5,---
2024/02/08,01:33:29.6,新潟県中越地方,36°50.0′N,138°46.0′E,5 km,0.4,---
2024/02/08,01:33:44.3,石川県能登地方,37°24.0′N,136°52.0′E,8 km,1,---
2024/02/08,01:35:53.0,能登半島沖,37°39.0′N,137°26.0′E,11 km,1.7,---
2024/02/08,01:36:01.3,福島県沖,37°6.0′N,141°13.0′E,23 km,1.4,---
2024/02/08,01:36:18.9,岩手県沖,39°14.0′N,142°24.0′E,32 km,1.3,---
2024/02/08,01:36:42.6,釧路地方北部,43°27.0′N,144°24.0′E,130 km,0.8,---
2024/02/08,01:36:56.4,岐阜県美濃中西部,35°32.0′N,136°32.0′E,12 km,-10.1,---
2024/02/08,01:40:35.6,石川県能登地方,37°28.0′N,137°15.0′E,13 km,1,---
2024/02/08,01:40:36.6,福島県中通り,37°26.0′N,140°15.0′E,12 km,1.8,---
2024/02/08,01:42:36.0,岐阜県美濃中西部,35°24.0′N,136°46.0′E,8 km,0.8,---
2024/02/08,01:43:10.1,石川県能登地方,37°19.0′N,136°54.0′E,13 km,1.3,---
2024/02/08,01:44:08.2,能登半島沖,37°39.0′N,137°25.0′E,13 km,2.4,---
2024/02/08,01:47:44.0,秋田県内陸南部,39°30.0′N,140°39.0′E,11 km,0.5,---
