地震の発生日時,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/05/28 00:02:39.0,十勝沖,41.375,144.40333333333334,29,1.7,-
2024/05/28 00:03:12.2,福島県会津,37.055,139.34833333333333,7,1.7,-
2024/05/28 00:04:51.4,和歌山県北部,34.085,135.24666666666667,6,0,-
2024/05/28 00:08:22.8,能登半島沖,37.541666666666664,137.23166666666665,10,0.3,-
2024/05/28 00:09:20.5,青森県東方沖,41.50333333333333,142.94333333333333,17,1.3,-
2024/05/28 00:12:35.2,京都府南部,34.99666666666667,135.62833333333333,11,0.2,-
2024/05/28 00:15:35.0,石川県能登地方,37.23,136.76833333333335,9,1.4,-
2024/05/28 00:17:12.7,能登半島沖,37.13333333333333,136.67166666666665,9,0.4,-
2024/05/28 00:17:14.6,岩手県沖,39.82333333333333,142.355,10,0.9,-
2024/05/28 00:19:33.3,石川県能登地方,37.19166666666667,136.76166666666666,5,0.8,-
2024/05/28 00:21:00.7,福井県嶺南,35.53333333333333,135.96166666666667,13,-10.2,-
2024/05/28 00:22:23.7,福島県会津,37.055,139.34833333333333,7,0.6,-
2024/05/28 00:24:42.2,石川県能登地方,37.178333333333335,136.755,8,0.4,-
2024/05/28 00:25:36.5,栃木県北部,36.64666666666667,139.345,6,0.5,-
2024/05/28 00:25:54.1,栃木県北部,36.64666666666667,139.34333333333333,6,0.4,-
2024/05/28 00:27:10.1,豊後水道,33.04333333333334,132.17333333333335,39,0.4,-
2024/05/28 00:29:31.5,京都府南部,34.998333333333335,135.62666666666667,7,-10.2,-
2024/05/28 00:31:15.1,鹿児島県薩摩地方,31.843333333333334,130.82,5,0.9,-
2024/05/28 00:31:39.9,福島県沖,37.391666666666666,141.975,33,0.9,-
2024/05/28 00:44:08.4,天草灘,32.141666666666666,130.07,9,1.3,-
2024/05/28 00:46:20.2,薩摩半島西方沖,31.286666666666665,129.96666666666667,6,1.1,-
2024/05/28 00:49:00.8,岐阜県美濃東部,35.373333333333335,137.42333333333335,12,0.2,-
2024/05/28 00:49:01.6,豊後水道,33.23,132.37833333333333,38,0.4,-
2024/05/28 00:55:26.7,能登半島沖,37.68,137.45333333333335,6,1.2,-
2024/05/28 00:56:51.4,宮崎県北部平野部,32.56666666666667,131.51,11,0.3,-
2024/05/28 00:57:33.7,大隅半島東方沖,31.036666666666665,131.60333333333332,34,2.2,-
2024/05/28 01:02:37.1,東京都多摩西部,35.73,139.14833333333334,117,1.1,-
2024/05/28 01:03:20.9,茨城県北部,36.44166666666667,140.47,92,1,-
2024/05/28 01:06:17.6,石川県能登地方,37.36666666666667,136.875,11,1.5,-
2024/05/28 01:07:41.3,福島県沖,37.093333333333334,141.37333333333333,12,1.3,-
2024/05/28 01:08:07.1,福岡県筑後地方,33.1,130.525,10,0.1,-
2024/05/28 01:09:34.8,日向灘,32.23833333333334,132.295,24,1.4,-
2024/05/28 01:10:34.4,静岡県西部,35.12833333333333,137.90833333333333,43,1.8,-
2024/05/28 01:11:34.8,兵庫県南西部,35.01166666666666,134.34,10,-10.1,-
2024/05/28 01:11:48.9,岩手県沖,39.653333333333336,142.20333333333335,25,1.4,-
2024/05/28 01:11:56.7,福井県嶺北,36.10333333333333,136.285,10,0.7,-
2024/05/28 01:17:09.9,福島県沖,37.61833333333333,141.58,54,0.8,-
2024/05/28 01:19:47.0,石川県能登地方,37.181666666666665,136.845,9,-10.1,-
2024/05/28 01:24:35.1,群馬県南部,36.6,139.42166666666665,7,-10.1,-
2024/05/28 01:25:52.8,福島県沖,37.14,142.19666666666666,18,0.9,-
2024/05/28 01:27:07.8,三陸沖,37.876666666666665,144.50333333333333,22,2.2,-
2024/05/28 01:31:06.5,八丈島東方沖,33.565,140.41833333333332,57,2,-
2024/05/28 01:31:12.8,宮城県沖,38.055,142.015,39,0.7,-
2024/05/28 01:32:59.7,和歌山県北部,34.08166666666666,135.38666666666666,5,0.9,-
2024/05/28 01:35:41.6,新潟県上中越沖,37.608333333333334,137.56333333333333,13,1.6,-
2024/05/28 01:41:47.8,石川県能登地方,37.531666666666666,137.30333333333334,13,0.8,-
2024/05/28 01:43:16.5,福島県沖,37.35,141.99833333333333,27,1.2,-
2024/05/28 01:44:14.5,紀伊水道,33.68,135.11166666666668,39,0.9,-
2024/05/28 01:49:40.0,宮城県沖,37.92666666666667,141.87666666666667,41,1,-
2024/05/28 01:51:37.1,石川県能登地方,37.195,136.72166666666666,8,2,-
2024/05/28 01:51:39.1,福島県沖,37.861666666666665,141.58166666666668,48,0.8,-
2024/05/28 01:52:27.6,千葉県東方沖,35.79,140.88333333333333,24,1.3,-
2024/05/28 01:56:38.5,豊後水道,33.11833333333333,132.39333333333335,36,0.7,-
2024/05/28 01:57:09.8,兵庫県南東部,34.79833333333333,134.84666666666666,9,0.9,-
2024/05/28 01:57:13.9,石川県能登地方,37.20333333333333,136.75833333333333,7,0.3,-
2024/05/28 01:59:28.3,石川県能登地方,37.49166666666667,137.235,13,1,-
2024/05/28 01:59:49.4,青森県津軽南部,40.45333333333333,140.755,3,0.2,-
2024/05/28 02:01:18.3,千島列島,45.67,151.045,181,4.1,-
2024/05/28 02:03:58.0,十勝地方中部,42.69166666666667,143.285,103,1.7,-
2024/05/28 02:05:35.2,日向灘,32.56,131.93833333333333,37,0.5,-
2024/05/28 02:12:38.3,十勝地方中部,43.11666666666667,143.16833333333332,117,3.7,-
2024/05/28 02:13:13.2,茨城県南部,35.85333333333333,140.74166666666667,15,2.1,-
