地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2023/11/22,00:02:38.0,紀伊水道,33°50.0′N,134°58.0′E,12 km,0.7,---
2023/11/22,00:03:07.9,三陸沖,39°1.0′N,144°18.0′E,24 km,1.1,---
2023/11/22,00:04:22.4,青森県東方沖,41°12.0′N,142°18.0′E,49 km,0.9,---
2023/11/22,00:10:45.5,房総半島南方沖,33°54.0′N,140°10.0′E,81 km,1.5,---
2023/11/22,00:13:34.4,徳島県北部,34°1.0′N,134°26.0′E,7 km,0.1,---
2023/11/22,00:14:42.8,天草灘,32°32.0′N,129°43.0′E,10 km,-10.3,---
2023/11/22,00:21:49.5,長野県中部,36°21.0′N,137°59.0′E,11 km,0.7,---
2023/11/22,00:21:57.6,紀伊水道,34°10.0′N,135°10.0′E,6 km,0.3,---
2023/11/22,00:22:38.4,台湾付近,22°34.0′N,121°10.0′E,0 km,3.5,---
2023/11/22,00:24:14.3,茨城県北部,36°43.0′N,140°37.0′E,9 km,2.4,---
2023/11/22,00:25:09.5,秋田県沿岸北部,40°24.0′N,140°16.0′E,6 km,1,---
2023/11/22,00:26:40.1,和歌山県北部,34°2.0′N,135°11.0′E,3 km,0.6,---
2023/11/22,00:29:23.6,鹿児島湾,31°26.0′N,130°38.0′E,9 km,0,---
2023/11/22,00:30:17.9,福島県沖,37°31.0′N,143°58.0′E,22 km,1.4,---
2023/11/22,00:32:54.8,択捉島付近,44°25.0′N,147°26.0′E,134 km,2.5,---
2023/11/22,00:33:04.4,長野県北部,36°34.0′N,137°55.0′E,12 km,-10.1,---
2023/11/22,00:33:46.6,京都府南部,35°9.0′N,135°42.0′E,16 km,0.4,---
2023/11/22,00:35:21.0,土佐湾,33°19.0′N,133°54.0′E,29 km,-10.1,---
2023/11/22,00:42:50.1,福島県沖,37°53.0′N,141°35.0′E,45 km,1,---
2023/11/22,00:49:40.9,奄美大島近海,28°31.0′N,129°28.0′E,16 km,2,---
2023/11/22,00:57:50.9,宮城県沖,38°16.0′N,141°51.0′E,61 km,1.1,---
2023/11/22,00:59:04.3,愛知県東部,34°38.0′N,137°7.0′E,4 km,0.1,---
2023/11/22,01:00:15.0,紀伊水道,33°50.0′N,134°59.0′E,14 km,0.7,---
2023/11/22,01:01:38.7,岩手県沖,39°58.0′N,142°7.0′E,44 km,0.3,---
2023/11/22,01:02:24.2,千葉県北東部,35°22.0′N,140°19.0′E,29 km,0.9,---
2023/11/22,01:03:52.8,十勝沖,41°59.0′N,144°19.0′E,23 km,1.1,---
2023/11/22,01:06:18.5,千葉県東方沖,35°39.0′N,140°56.0′E,16 km,1,---
2023/11/22,01:09:33.0,宮城県沖,37°48.0′N,142°10.0′E,34 km,1.3,---
2023/11/22,01:15:00.9,紀伊水道,33°50.0′N,134°58.0′E,12 km,0.1,---
2023/11/22,01:15:15.4,福島県沖,37°43.0′N,144°5.0′E,30 km,2.3,---
2023/11/22,01:16:26.5,紀伊水道,33°50.0′N,134°58.0′E,12 km,0.9,---
2023/11/22,01:23:55.2,紀伊水道,33°50.0′N,134°59.0′E,13 km,0.6,---
2023/11/22,01:25:31.8,三陸沖,38°0.0′N,144°37.0′E,30 km,1.2,---
