地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2023/11/17,00:01:21.8,栃木県北部,36°39.0′N,139°21.0′E,9 km,-10.2,---
2023/11/17,00:01:42.8,茨城県沖,36°15.0′N,141°16.0′E,27 km,1.2,---
2023/11/17,00:02:30.9,福島県沖,37°22.0′N,142°0.0′E,32 km,2.1,---
2023/11/17,00:02:37.4,八丈島東方沖,33°51.0′N,141°43.0′E,15 km,1.7,---
2023/11/17,00:03:57.9,福島県沖,37°22.0′N,142°1.0′E,28 km,1.6,---
2023/11/17,00:06:50.2,能登半島沖,37°31.0′N,137°12.0′E,11 km,0.6,---
2023/11/17,00:07:11.0,福島県沖,37°16.0′N,142°8.0′E,25 km,1.2,---
2023/11/17,00:14:08.8,栃木県北部,36°39.0′N,139°21.0′E,9 km,-10.1,---
2023/11/17,00:14:15.4,栃木県北部,36°39.0′N,139°21.0′E,5 km,0.8,---
2023/11/17,00:14:38.2,福島県沖,37°42.0′N,141°35.0′E,54 km,1.8,---
2023/11/17,00:17:16.6,福島県沖,37°50.0′N,141°37.0′E,49 km,0.9,---
2023/11/17,00:17:22.2,宮城県沖,38°23.0′N,142°1.0′E,35 km,-1,---
2023/11/17,00:22:14.9,栃木県北部,36°38.0′N,139°26.0′E,10 km,0.2,---
2023/11/17,00:27:38.9,栃木県北部,36°39.0′N,139°21.0′E,6 km,0.2,---
2023/11/17,00:32:51.0,新島・神津島近海,34°23.0′N,139°17.0′E,10 km,1.4,---
2023/11/17,00:37:53.1,福島県沖,37°46.0′N,141°35.0′E,54 km,1,---
2023/11/17,00:40:29.1,日向灘,31°55.0′N,131°52.0′E,39 km,1.4,---
2023/11/17,00:42:36.8,茨城県北部,36°48.0′N,140°32.0′E,8 km,-10.1,---
2023/11/17,00:43:30.1,石川県能登地方,37°31.0′N,137°17.0′E,14 km,1.1,---
2023/11/17,00:44:57.3,上川地方北部,44°51.0′N,142°3.0′E,0 km,0,---
2023/11/17,00:51:25.0,長野県中部,36°7.0′N,137°40.0′E,6 km,-10.1,---
2023/11/17,00:53:23.6,福島県沖,37°52.0′N,141°36.0′E,46 km,1,---
2023/11/17,00:55:39.5,津軽海峡,41°22.0′N,140°33.0′E,148 km,2.7,---
2023/11/17,01:00:10.4,岩手県内陸南部,39°3.0′N,140°51.0′E,8 km,0.1,---
2023/11/17,01:00:43.0,十勝地方中部,42°41.0′N,143°0.0′E,66 km,0.3,---
2023/11/17,01:02:19.3,三重県北部,34°55.0′N,136°34.0′E,19 km,0.6,---
2023/11/17,01:06:45.0,日向灘,32°21.0′N,131°54.0′E,20 km,1.5,---
2023/11/17,01:06:55.1,和歌山県北部,33°59.0′N,135°29.0′E,52 km,0.4,---
2023/11/17,01:06:57.8,山梨県東部・富士五湖,35°29.0′N,138°57.0′E,23 km,0.2,---
2023/11/17,01:08:05.1,関東東方沖,36°57.0′N,144°0.0′E,33 km,1.5,---
2023/11/17,01:11:35.9,根室半島南東沖,43°22.0′N,146°9.0′E,48 km,2.2,---
2023/11/17,01:12:24.3,苫小牧沖,42°20.0′N,141°12.0′E,112 km,1.1,---
2023/11/17,01:12:34.0,福島県沖,37°44.0′N,141°35.0′E,56 km,1.1,---
2023/11/17,01:17:35.6,秋田県内陸南部,38°59.0′N,140°33.0′E,1 km,0.4,---
2023/11/17,01:18:18.4,福島県会津,37°2.0′N,139°24.0′E,7 km,0.4,---
2023/11/17,01:19:13.9,三陸沖,38°21.0′N,144°49.0′E,25 km,2,---
2023/11/17,01:20:42.9,岩手県沖,39°27.0′N,142°23.0′E,36 km,0.8,---
2023/11/17,01:23:31.9,山口県中部,34°12.0′N,131°28.0′E,23 km,1.2,---
2023/11/17,01:29:01.7,石川県能登地方,37°31.0′N,137°17.0′E,13 km,0.7,---
2023/11/17,01:32:33.9,長野県北部,36°45.0′N,137°51.0′E,4 km,0.5,---
2023/11/17,01:33:06.1,山梨県中・西部,35°45.0′N,138°15.0′E,8 km,-10.1,---
2023/11/17,01:34:23.5,和歌山県南方沖,32°23.0′N,135°34.0′E,52 km,2.2,---
2023/11/17,01:35:54.5,石川県能登地方,37°31.0′N,137°19.0′E,13 km,1.5,---
2023/11/17,01:39:39.3,福島県沖,37°26.0′N,141°53.0′E,42 km,1.1,---
2023/11/17,01:39:51.3,岩手県沖,39°27.0′N,142°26.0′E,34 km,0.9,---
2023/11/17,01:41:14.4,福島県沖,37°49.0′N,141°36.0′E,48 km,0.8,---
2023/11/17,01:44:35.7,茨城県南部,36°20.0′N,139°56.0′E,78 km,0.5,---
2023/11/17,01:45:46.1,浦河沖,42°7.0′N,142°43.0′E,46 km,0.9,---
2023/11/17,01:47:17.4,滋賀県北部,35°33.0′N,136°20.0′E,12 km,0.2,---
2023/11/17,01:48:57.2,東海道南方沖,32°18.0′N,138°27.0′E,407 km,3.2,---
2023/11/17,01:52:24.1,滋賀県南部,35°2.0′N,135°55.0′E,11 km,0.7,---
2023/11/17,01:53:12.0,石川県能登地方,37°32.0′N,137°17.0′E,15 km,0.9,---
2023/11/17,01:53:15.3,福島県沖,37°43.0′N,142°29.0′E,19 km,1.4,---
2023/11/17,01:54:05.8,豊後水道,32°51.0′N,132°25.0′E,29 km,0.9,---
2023/11/17,01:56:35.2,秋田県内陸南部,38°58.0′N,140°33.0′E,4 km,0.2,---
2023/11/17,02:07:19.0,西表島付近,24°15.0′N,123°46.0′E,19 km,1.9,---
