地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2023/12/20,00:01:21.6,福島県沖,37°16.0′N,142°11.0′E,21 km,1.2,---
2023/12/20,00:05:05.9,西表島付近,24°21.0′N,123°32.0′E,21 km,1.6,---
2023/12/20,00:06:30.8,秋田県内陸北部,40°18.0′N,140°42.0′E,10 km,0.2,---
2023/12/20,00:07:57.9,西表島付近,24°22.0′N,123°33.0′E,22 km,1.9,---
2023/12/20,00:08:49.0,秋田県内陸北部,40°18.0′N,140°42.0′E,6 km,-10.1,---
2023/12/20,00:10:52.2,熊本県天草・芦北地方,32°9.0′N,130°31.0′E,4 km,0.1,---
2023/12/20,00:11:52.4,愛知県東部,35°9.0′N,137°43.0′E,17 km,1.2,---
2023/12/20,00:12:22.5,石垣島近海,24°55.0′N,124°9.0′E,32 km,0.8,---
2023/12/20,00:17:54.9,岐阜県美濃中西部,35°23.0′N,136°54.0′E,11 km,0,---
2023/12/20,00:27:59.4,福島県沖,37°23.0′N,141°51.0′E,38 km,0.9,---
2023/12/20,00:35:24.6,青森県下北地方,41°18.0′N,140°53.0′E,9 km,0.2,---
2023/12/20,00:38:06.6,有明海,32°41.0′N,130°32.0′E,3 km,0.3,---
2023/12/20,00:40:13.0,根室半島南東沖,43°25.0′N,146°8.0′E,52 km,0.8,---
2023/12/20,00:43:16.6,岩手県沿岸北部,40°10.0′N,141°36.0′E,6 km,-10.4,---
2023/12/20,00:43:37.4,熊本県天草・芦北地方,32°9.0′N,130°26.0′E,7 km,0,---
2023/12/20,00:44:23.3,西表島付近,24°21.0′N,123°33.0′E,21 km,2.9,---
2023/12/20,00:46:05.5,西表島付近,24°21.0′N,123°30.0′E,20 km,1.7,---
2023/12/20,00:46:07.7,茨城県沖,36°26.0′N,141°1.0′E,39 km,0.9,---
2023/12/20,00:47:03.2,青森県下北地方,41°17.0′N,140°52.0′E,10 km,-10.2,---
2023/12/20,00:48:26.8,青森県三八上北地方,40°33.0′N,141°3.0′E,134 km,1,---
2023/12/20,00:48:58.4,茨城県沖,36°26.0′N,141°2.0′E,36 km,0.8,---
2023/12/20,00:49:28.6,青森県下北地方,41°18.0′N,140°53.0′E,9 km,0.8,---
2023/12/20,00:54:39.7,熊本県天草・芦北地方,32°17.0′N,130°25.0′E,9 km,0,---
2023/12/20,00:57:37.9,和歌山県北部,34°13.0′N,135°9.0′E,6 km,0.5,---
2023/12/20,01:01:27.3,神奈川県西部,35°32.0′N,139°25.0′E,105 km,2.1,---
2023/12/20,01:03:39.2,能登半島沖,37°32.0′N,137°12.0′E,11 km,1,---
2023/12/20,01:04:07.5,十勝地方南部,42°23.0′N,143°9.0′E,31 km,0.3,---
2023/12/20,01:05:12.3,東京湾,35°35.0′N,139°50.0′E,26 km,0.7,---
2023/12/20,01:05:32.7,神奈川県西部,35°24.0′N,138°57.0′E,21 km,1.5,---
2023/12/20,01:09:40.6,栃木県南部,36°31.0′N,139°55.0′E,18 km,0.9,---
2023/12/20,01:11:09.0,日向灘,32°42.0′N,132°2.0′E,41 km,1,---
2023/12/20,01:12:08.9,和歌山県北部,34°4.0′N,135°17.0′E,6 km,-10.2,---
2023/12/20,01:15:16.0,能登半島沖,37°31.0′N,137°14.0′E,13 km,1.5,---
2023/12/20,01:15:43.9,石川県能登地方,37°31.0′N,137°17.0′E,14 km,-1,---
2023/12/20,01:22:09.0,青森県西方沖,41°12.0′N,139°34.0′E,18 km,1.6,---
2023/12/20,01:22:30.1,新潟県下越地方,38°18.0′N,139°31.0′E,152 km,-1,---
2023/12/20,01:25:38.3,青森県下北地方,41°20.0′N,140°53.0′E,7 km,0.5,---
2023/12/20,01:28:45.7,鳥取県中部,35°22.0′N,133°52.0′E,9 km,0.6,---
2023/12/20,01:28:58.1,長野県南部,35°23.0′N,137°57.0′E,11 km,-10.1,---
2023/12/20,01:30:34.9,青森県津軽南部,40°35.0′N,140°22.0′E,9 km,1.4,---
2023/12/20,01:34:58.2,福島県沖,37°50.0′N,141°36.0′E,47 km,0.9,---
2023/12/20,01:35:43.6,茨城県沖,36°49.0′N,141°11.0′E,23 km,0.8,---
2023/12/20,01:36:39.2,兵庫県南西部,34°59.0′N,134°37.0′E,13 km,0.2,---
2023/12/20,01:38:34.4,長野県中部,36°14.0′N,137°57.0′E,11 km,-10.4,---
2023/12/20,01:45:25.6,長崎県南西部,32°47.0′N,129°54.0′E,9 km,0.5,---
2023/12/20,01:54:31.2,岩手県沖,39°10.0′N,142°24.0′E,32 km,0.8,---
2023/12/20,01:56:46.2,石川県能登地方,37°29.0′N,137°10.0′E,10 km,0.9,---
2023/12/20,01:56:48.8,和歌山県南方沖,33°35.0′N,135°9.0′E,40 km,0.1,---
2023/12/20,02:00:29.7,長野県中部,36°12.0′N,137°55.0′E,9 km,-10.3,---
2023/12/20,02:00:48.9,三陸沖,39°26.0′N,143°4.0′E,0 km,1.7,---
2023/12/20,02:01:43.8,福島県沖,37°8.0′N,142°10.0′E,17 km,0.9,---
2023/12/20,02:04:05.1,三重県南東沖,34°14.0′N,136°55.0′E,19 km,0.8,---
2023/12/20,02:12:32.0,釧路地方北部,43°32.0′N,144°19.0′E,2 km,0.6,---
2023/12/20,02:17:44.4,石川県能登地方,37°32.0′N,137°19.0′E,14 km,1.2,---
2023/12/20,02:33:54.0,空知地方南部,42°58.0′N,142°5.0′E,141 km,1.6,---
2023/12/20,02:34:38.1,茨城県沖,36°29.0′N,141°9.0′E,36 km,1.1,---
2023/12/20,02:38:40.7,能登半島沖,37°32.0′N,137°12.0′E,13 km,1,---
2023/12/20,02:41:38.0,日向灘,32°48.0′N,132°7.0′E,36 km,1.1,---
2023/12/20,02:42:33.2,周防灘,33°47.0′N,131°4.0′E,10 km,1.2,---
2023/12/20,02:42:49.6,三重県南東沖,33°49.0′N,137°17.0′E,46 km,1,---
2023/12/20,02:42:52.2,島根県西部,34°49.0′N,132°13.0′E,20 km,1.2,---
2023/12/20,02:49:26.4,宮崎県北部平野部,32°30.0′N,131°43.0′E,20 km,0.6,---
2023/12/20,02:50:10.9,福島県沖,37°50.0′N,141°37.0′E,48 km,1,---
2023/12/20,02:50:20.5,福島県沖,37°47.0′N,141°36.0′E,54 km,1.2,---
2023/12/20,02:51:48.0,国後島付近,43°27.0′N,145°53.0′E,100 km,1.3,---
2023/12/20,02:53:32.8,福島県沖,37°50.0′N,141°35.0′E,46 km,0.8,---
2023/12/20,02:58:55.8,日高地方西部,42°40.0′N,142°15.0′E,6 km,-10.1,---
2023/12/20,03:03:15.7,根室半島南東沖,43°14.0′N,145°36.0′E,64 km,3.1,---
2023/12/20,03:04:30.6,和歌山県北部,34°6.0′N,135°10.0′E,7 km,1.3,---
2023/12/20,03:05:24.5,新潟県中越地方,37°18.0′N,138°58.0′E,0 km,0.3,---
2023/12/20,03:06:46.1,大阪府北部,34°60.0′N,135°27.0′E,14 km,0.1,---
2023/12/20,03:06:54.7,千葉県南東沖,34°34.0′N,140°39.0′E,45 km,1.1,---
2023/12/20,03:07:59.7,茨城県沖,36°16.0′N,140°50.0′E,44 km,1,---
2023/12/20,03:23:18.4,日向灘,32°2.0′N,131°47.0′E,33 km,0.5,---
2023/12/20,03:24:49.8,岐阜県美濃中西部,35°33.0′N,136°24.0′E,11 km,0.5,---
