地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2023/12/16,00:02:46.0,国後島付近,43°47.0′N,145°17.0′E,121 km,-1,---
2023/12/16,00:09:25.2,福島県沖,37°52.0′N,141°38.0′E,49 km,1,---
2023/12/16,00:15:43.4,沖縄本島近海,25°45.0′N,129°30.0′E,46 km,2,---
2023/12/16,00:16:05.8,長野県南部,35°55.0′N,138°4.0′E,8 km,0.2,---
2023/12/16,00:18:29.7,長野県南部,35°55.0′N,138°9.0′E,6 km,0,---
2023/12/16,00:27:35.8,能登半島沖,37°33.0′N,137°21.0′E,14 km,1.7,---
2023/12/16,00:31:47.4,台湾付近,23°8.0′N,121°34.0′E,51 km,3.2,---
2023/12/16,00:31:59.4,福島県沖,37°23.0′N,141°41.0′E,44 km,1,---
2023/12/16,00:32:50.0,宮城県沖,38°54.0′N,142°23.0′E,24 km,1.2,---
2023/12/16,00:37:29.2,茨城県沖,36°16.0′N,141°36.0′E,15 km,1.8,---
2023/12/16,00:39:02.8,福島県沖,37°18.0′N,141°45.0′E,41 km,1.2,---
2023/12/16,00:42:14.5,長野県北部,36°57.0′N,138°30.0′E,11 km,0.5,---
2023/12/16,00:43:30.5,長野県中部,36°12.0′N,137°56.0′E,7 km,-10.3,---
2023/12/16,00:44:38.7,宮古島北西沖,26°10.0′N,125°4.0′E,150 km,3.1,---
2023/12/16,00:46:30.8,福島県沖,36°56.0′N,140°57.0′E,42 km,0.6,---
2023/12/16,00:52:12.1,熊本県熊本地方,32°34.0′N,130°43.0′E,9 km,0.2,---
2023/12/16,00:54:17.7,宮城県南部,38°13.0′N,140°40.0′E,133 km,1.4,---
2023/12/16,01:00:09.2,胆振地方中東部,42°23.0′N,141°0.0′E,9 km,0.5,---
2023/12/16,01:00:53.6,宮崎県北部平野部,32°30.0′N,131°43.0′E,19 km,1,---
2023/12/16,01:07:10.7,青森県津軽南部,40°29.0′N,140°7.0′E,15 km,0.2,---
2023/12/16,01:08:15.1,能登半島沖,37°31.0′N,137°13.0′E,11 km,1.7,---
2023/12/16,01:09:09.3,能登半島沖,37°32.0′N,137°12.0′E,11 km,1.6,---
2023/12/16,01:09:51.7,能登半島沖,37°33.0′N,137°12.0′E,10 km,1.1,---
2023/12/16,01:10:03.5,福島県沖,36°53.0′N,141°4.0′E,28 km,1.8,---
2023/12/16,01:13:14.8,岐阜県美濃東部,35°17.0′N,137°25.0′E,45 km,0.3,---
2023/12/16,01:16:37.4,秋田県内陸北部,40°29.0′N,140°52.0′E,5 km,-10.1,---
2023/12/16,01:16:43.6,兵庫県南西部,34°52.0′N,134°41.0′E,13 km,0.5,---
2023/12/16,01:19:15.2,秋田県内陸北部,40°29.0′N,140°52.0′E,4 km,0.3,---
2023/12/16,01:24:17.5,能登半島沖,37°32.0′N,137°12.0′E,12 km,1.4,---
2023/12/16,01:26:08.5,福島県沖,37°24.0′N,141°56.0′E,36 km,1.7,---
2023/12/16,01:28:09.7,静岡県西部,35°3.0′N,137°51.0′E,28 km,0.4,---
2023/12/16,01:28:54.4,静岡県西部,35°5.0′N,137°52.0′E,24 km,-10.2,---
2023/12/16,01:35:37.1,鹿児島県薩摩地方,31°35.0′N,130°26.0′E,15 km,0.7,---
2023/12/16,01:38:36.8,沖縄本島近海,26°46.0′N,128°6.0′E,15 km,0.8,---
2023/12/16,01:42:18.3,山形県置賜地方,37°48.0′N,139°59.0′E,7 km,1.1,---
2023/12/16,01:44:20.1,宮崎県北部山沿い,32°37.0′N,131°16.0′E,13 km,0.8,---
2023/12/16,01:50:25.0,福島県沖,37°43.0′N,142°17.0′E,29 km,1.2,---
2023/12/16,01:58:54.8,天草灘,31°59.0′N,129°45.0′E,8 km,1.4,---
2023/12/16,01:59:16.5,北海道南西沖,41°28.0′N,139°52.0′E,4 km,1.8,---
2023/12/16,02:00:56.2,台湾付近,23°49.0′N,121°42.0′E,46 km,3.3,---
