地震の発生日時,震央地名,緯度,経度,深さ,Ｍ,最大震度
2023/10/24 00:01:38.4,神奈川県西部,35.23,139.01833333333335,2,0,-
2023/10/24 00:03:27.5,岩手県沖,39.45666666666666,142.295,37,0.7,-
2023/10/24 00:03:27.5,愛媛県南予,33.475,132.28333333333333,45,1.8,-
2023/10/24 00:07:31.7,神奈川県西部,35.223333333333336,139.015,3,-10.6,-
2023/10/24 00:08:16.3,長野県南部,35.99,137.62166666666667,8,0,-
2023/10/24 00:09:43.0,福島県沖,37.16166666666667,141.475,19,1.6,-
2023/10/24 00:12:15.7,岐阜県美濃中西部,35.47666666666667,136.725,8,0.3,-
2023/10/24 00:13:11.7,山梨県東部・富士五湖,35.62166666666667,139.09333333333333,121,0.8,-
2023/10/24 00:14:01.6,福島県沖,37.848333333333336,141.575,46,0.9,-
2023/10/24 00:17:06.2,三重県中部,34.57833333333333,136.54833333333335,15,0.5,-
2023/10/24 00:21:09.2,東京湾,35.653333333333336,140.005,73,0.8,-
2023/10/24 00:21:52.6,長野県北部,36.55,137.95666666666668,17,-10.6,-
2023/10/24 00:21:55.0,日向灘,31.91,131.98833333333334,17,0.7,-
2023/10/24 00:22:07.7,千葉県東方沖,35.45666666666666,141.09,20,1,-
2023/10/24 00:22:13.9,鳥取県中部,35.42,133.815,9,-10.1,-
2023/10/24 00:22:34.1,与那国島近海,24.151666666666667,123.39,51,0.9,-
2023/10/24 00:22:43.5,長野県中部,36.42333333333333,138.05333333333334,4,-10.8,-
2023/10/24 00:23:45.7,日向灘,32.13333333333333,131.73,34,1,-
2023/10/24 00:24:35.6,鳥取県中部,35.42166666666667,133.81833333333333,9,0.4,-
2023/10/24 00:30:14.8,長野県南部,35.985,137.63,6,-10.2,-
2023/10/24 00:33:51.7,福島県沖,37.84166666666667,141.62,49,0.9,-
2023/10/24 00:34:15.1,沖縄本島近海,26.37,128.97833333333332,19,2.7,-
2023/10/24 00:37:47.6,能登半島沖,37.52,137.19833333333332,8,0.8,-
2023/10/24 00:38:54.3,愛知県東部,34.906666666666666,137.565,34,0.6,-
2023/10/24 00:41:22.2,長野県中部,36.111666666666665,137.99333333333334,4,-10.8,-
2023/10/24 00:42:05.1,岩手県沖,39.675,142.13,46,0.6,-
2023/10/24 00:43:15.2,愛媛県南予,33.48,132.28666666666666,44,1.1,-
2023/10/24 00:44:49.8,岩手県沖,39.376666666666665,142.15333333333334,31,0.9,-
2023/10/24 00:45:11.9,兵庫県南西部,35.038333333333334,134.495,12,0.7,-
2023/10/24 00:46:32.3,種子島近海,30.598333333333333,131.30666666666667,31,1.8,-
2023/10/24 00:47:06.7,福島県沖,37.413333333333334,141.835,39,1.9,-
2023/10/24 00:48:03.0,長野県南部,35.873333333333335,138.12,4,-10.8,-
2023/10/24 00:50:51.2,福島県沖,37.715,141.72,51,1.1,-
2023/10/24 00:51:05.4,日向灘,31.781666666666666,131.63,22,0.2,-
2023/10/24 00:58:05.2,大隅半島東方沖,31.17,131.64833333333334,31,0.5,-
2023/10/24 01:00:09.3,岐阜県飛騨地方,36.08166666666666,137.545,4,0.9,-
