地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2023/04/09,00:02:11.0,能登半島沖,37°33.0′N,137°15.0′E,13 km,1.2,---
2023/04/09,00:03:11.1,新潟県中越地方,37°6.0′N,138°41.0′E,11 km,1,---
2023/04/09,00:03:57.1,宮崎県南部平野部,31°49.0′N,131°26.0′E,49 km,1,---
2023/04/09,00:07:17.8,十勝地方北部,43°26.0′N,142°56.0′E,6 km,0.2,---
2023/04/09,00:08:24.3,熊本県天草・芦北地方,32°13.0′N,130°27.0′E,8 km,0.2,---
2023/04/09,00:09:42.9,房総半島南方沖,34°27.0′N,139°44.0′E,24 km,-1,---
2023/04/09,00:11:39.6,福島県沖,37°25.0′N,141°44.0′E,42 km,1.2,---
2023/04/09,00:12:55.9,茨城県沖,36°46.0′N,141°19.0′E,41 km,1.4,---
2023/04/09,00:19:48.7,愛知県西部,34°55.0′N,136°51.0′E,17 km,1.2,---
2023/04/09,00:20:10.8,滋賀県北部,35°21.0′N,136°24.0′E,8 km,0.9,---
2023/04/09,00:25:46.4,宮城県沖,38°19.0′N,141°36.0′E,57 km,1.1,---
2023/04/09,00:28:07.8,茨城県北部,36°49.0′N,140°35.0′E,8 km,0,---
2023/04/09,00:29:50.1,三陸沖,39°15.0′N,144°25.0′E,33 km,1.1,---
2023/04/09,00:35:37.9,沖縄本島近海,27°15.0′N,128°9.0′E,16 km,1.1,---
2023/04/09,00:36:07.9,橘湾,32°46.0′N,130°6.0′E,16 km,0.3,---
2023/04/09,00:36:22.1,岩手県沖,39°3.0′N,142°23.0′E,23 km,1.1,---
2023/04/09,00:37:18.7,千葉県北西部,35°51.0′N,140°16.0′E,42 km,0.1,---
2023/04/09,00:40:14.8,日高地方東部,42°21.0′N,142°59.0′E,55 km,3.8,---
2023/04/09,00:44:17.2,宮城県沖,37°55.0′N,141°40.0′E,50 km,0.9,---
2023/04/09,00:51:30.3,島根県西部,35°7.0′N,132°40.0′E,9 km,0.6,---
2023/04/09,00:51:37.1,十勝沖,42°23.0′N,143°45.0′E,51 km,1.1,---
2023/04/09,00:52:46.3,愛知県西部,35°5.0′N,137°0.0′E,13 km,1,---
2023/04/09,00:54:10.1,静岡県中部,35°1.0′N,138°30.0′E,20 km,0.6,---
2023/04/09,00:54:29.2,島根県西部,35°2.0′N,132°27.0′E,11 km,0.6,---
2023/04/09,00:57:43.8,長野県中部,36°13.0′N,137°58.0′E,9 km,0.2,---
2023/04/09,01:08:34.6,茨城県沖,36°19.0′N,141°4.0′E,28 km,1.3,---
2023/04/09,01:09:57.4,大隅半島東方沖,31°23.0′N,131°54.0′E,35 km,1.5,---
2023/04/09,01:19:52.4,宗谷地方北部,45°18.0′N,141°43.0′E,0 km,0.2,---
2023/04/09,01:19:53.3,長野県北部,36°41.0′N,138°25.0′E,2 km,0.5,---
2023/04/09,01:24:55.8,北海道南西沖,42°40.0′N,139°17.0′E,13 km,1.6,---
2023/04/09,01:24:59.8,宮城県沖,38°42.0′N,142°16.0′E,41 km,0.8,---
2023/04/09,01:25:03.8,北海道北西沖,44°42.0′N,141°33.0′E,18 km,2.1,---
2023/04/09,01:27:26.0,京都府南部,35°16.0′N,135°23.0′E,10 km,0.7,---
2023/04/09,01:33:21.0,和歌山県南部,33°37.0′N,135°26.0′E,34 km,0.7,---
2023/04/09,01:35:39.8,福島県中通り,37°1.0′N,140°33.0′E,9 km,0.2,---
2023/04/09,01:40:38.0,能登半島沖,37°33.0′N,137°15.0′E,14 km,0.9,---
2023/04/09,01:45:22.1,茨城県北部,36°44.0′N,140°36.0′E,8 km,0,---
2023/04/09,01:47:13.8,四国沖,32°37.0′N,132°39.0′E,26 km,-1,---
2023/04/09,01:51:57.9,網走地方,43°46.0′N,143°58.0′E,15 km,0.7,---
2023/04/09,01:51:59.5,熊本県熊本地方,32°27.0′N,130°59.0′E,127 km,-1,---
2023/04/09,01:58:24.7,北海道南西沖,42°41.0′N,139°19.0′E,0 km,1.6,---
2023/04/09,02:00:04.8,天草灘,31°60.0′N,130°11.0′E,10 km,1.4,---
2023/04/09,02:03:51.1,高知県東部,33°27.0′N,134°12.0′E,28 km,0.4,---
2023/04/09,02:04:20.6,福島県沖,37°21.0′N,141°22.0′E,46 km,1,---
2023/04/09,02:04:59.5,長野県中部,35°60.0′N,138°5.0′E,8 km,-10.2,---
2023/04/09,02:05:22.5,長野県南部,35°52.0′N,137°40.0′E,6 km,0.1,---
2023/04/09,02:06:48.5,北海道南西沖,42°41.0′N,139°16.0′E,14 km,1.6,---
