地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/10/01,00:00:20.7,石川県能登地方,37°10.0′N,136°45.0′E,7 km,0.5,---
2024/10/01,00:02:57.7,宮崎県南部山沿い,32°3.0′N,131°3.0′E,11 km,0.1,---
2024/10/01,00:03:27.9,山口県西部,34°3.0′N,131°2.0′E,15 km,0.1,---
2024/10/01,00:04:36.5,群馬県北部,36°40.0′N,139°20.0′E,10 km,0.1,---
2024/10/01,00:09:39.5,茨城県沖,36°4.0′N,141°28.0′E,22 km,1,---
2024/10/01,00:14:44.0,福島県中通り,37°11.0′N,140°29.0′E,7 km,1,---
2024/10/01,00:16:50.7,富山県東部,36°26.0′N,137°35.0′E,2 km,0.1,---
2024/10/01,00:16:53.1,宮城県沖,37°57.0′N,141°45.0′E,55 km,1.7,---
2024/10/01,00:17:58.1,熊本県熊本地方,33°5.0′N,130°46.0′E,10 km,0.2,---
2024/10/01,00:18:42.5,薩摩半島西方沖,31°44.0′N,129°57.0′E,6 km,0.1,---
2024/10/01,00:19:01.3,石川県能登地方,37°15.0′N,136°46.0′E,9 km,0.1,---
2024/10/01,00:20:57.6,栃木県北部,36°38.0′N,139°26.0′E,9 km,2.5,---
2024/10/01,00:22:03.6,熊本県球磨地方,32°21.0′N,130°40.0′E,10 km,0.1,---
2024/10/01,00:22:25.5,福島県沖,37°40.0′N,141°53.0′E,41 km,1.8,---
2024/10/01,00:24:06.9,長野県中部,36°18.0′N,138°1.0′E,2 km,-10.2,---
2024/10/01,00:26:17.1,石川県能登地方,37°20.0′N,136°60.0′E,11 km,0.5,---
2024/10/01,00:27:15.3,佐渡付近,37°51.0′N,137°45.0′E,10 km,1,---
2024/10/01,00:28:57.5,石川県能登地方,37°8.0′N,136°49.0′E,10 km,-10.1,---
2024/10/01,00:29:02.3,静岡県西部,34°50.0′N,137°36.0′E,38 km,0.4,---
2024/10/01,00:29:23.6,茨城県沖,36°30.0′N,141°41.0′E,20 km,1.1,---
2024/10/01,00:29:42.3,石川県西方沖,37°1.0′N,136°26.0′E,19 km,-10.1,---
2024/10/01,00:30:33.2,熊本県熊本地方,32°41.0′N,130°45.0′E,10 km,0.4,---
2024/10/01,00:30:50.7,石川県能登地方,37°13.0′N,136°47.0′E,9 km,0.2,---
2024/10/01,00:32:12.6,福島県沖,36°44.0′N,142°11.0′E,15 km,1.8,---
2024/10/01,00:32:36.9,宮崎県北部山沿い,32°44.0′N,131°12.0′E,9 km,-10.2,---
2024/10/01,00:32:56.0,石川県能登地方,37°24.0′N,136°54.0′E,6 km,1.3,---
2024/10/01,00:34:16.8,石川県能登地方,37°8.0′N,136°49.0′E,10 km,0.2,---
2024/10/01,00:34:58.1,茨城県沖,36°44.0′N,140°51.0′E,84 km,1,---
2024/10/01,00:35:29.2,能登半島沖,37°32.0′N,137°12.0′E,13 km,0.2,---
2024/10/01,00:35:30.5,福島県沖,37°17.0′N,142°9.0′E,22 km,1.6,---
2024/10/01,00:37:20.4,和歌山県北部,34°7.0′N,135°7.0′E,11 km,-10.4,---
2024/10/01,00:39:10.9,福島県沖,37°17.0′N,142°10.0′E,20 km,1.4,---
2024/10/01,00:39:39.9,播磨灘,34°43.0′N,134°41.0′E,11 km,0.2,---
2024/10/01,00:50:38.5,福島県沖,37°49.0′N,141°36.0′E,49 km,1.6,---
2024/10/01,00:51:21.6,熊本県球磨地方,32°21.0′N,130°40.0′E,8 km,-10.6,---
2024/10/01,00:57:36.1,福島県沖,37°51.0′N,141°36.0′E,49 km,1.3,---
2024/10/01,00:59:10.6,北海道南西沖,42°54.0′N,139°15.0′E,200 km,1.6,---
2024/10/01,01:02:06.8,能登半島沖,37°30.0′N,137°26.0′E,8 km,-10.1,---
2024/10/01,01:04:59.5,福島県沖,37°40.0′N,141°34.0′E,49 km,1.2,---
2024/10/01,01:08:10.7,能登半島沖,37°8.0′N,136°41.0′E,6 km,0,---
2024/10/01,01:09:55.2,岩手県内陸南部,39°7.0′N,141°23.0′E,104 km,0.8,---
2024/10/01,01:11:51.1,福島県沖,37°25.0′N,141°41.0′E,44 km,0.6,---
2024/10/01,01:11:58.2,秋田県内陸北部,39°58.0′N,140°38.0′E,7 km,-10.2,---
2024/10/01,01:17:14.3,佐渡付近,37°48.0′N,137°41.0′E,17 km,1.6,---
2024/10/01,01:17:19.2,長野県中部,36°10.0′N,137°49.0′E,7 km,0.6,---
2024/10/01,01:18:28.2,石川県能登地方,37°14.0′N,136°46.0′E,9 km,1.4,---
2024/10/01,01:18:47.8,宮城県沖,38°55.0′N,142°3.0′E,41 km,0.3,---
2024/10/01,01:20:40.2,福島県沖,37°10.0′N,142°9.0′E,19 km,1.8,---
2024/10/01,01:20:58.8,八丈島近海,33°3.0′N,139°53.0′E,117 km,2.3,---
2024/10/01,01:22:21.1,能登半島沖,37°32.0′N,137°19.0′E,13 km,-10.1,---
2024/10/01,01:23:22.2,滋賀県北部,35°23.0′N,135°50.0′E,8 km,0.1,---
2024/10/01,01:26:50.5,沖縄本島近海,26°41.0′N,128°9.0′E,21 km,1.2,---
2024/10/01,01:27:45.1,石川県能登地方,37°15.0′N,136°48.0′E,10 km,0.8,---
2024/10/01,01:31:06.1,石川県能登地方,37°15.0′N,136°48.0′E,8 km,1.3,---
2024/10/01,01:32:20.2,石川県能登地方,37°8.0′N,136°50.0′E,4 km,-10.1,---
2024/10/01,01:32:55.7,福島県沖,37°50.0′N,141°36.0′E,48 km,1.1,---
2024/10/01,01:33:48.3,岩手県内陸北部,39°50.0′N,140°51.0′E,4 km,0.6,---
2024/10/01,01:35:15.4,和歌山県北部,34°9.0′N,135°11.0′E,8 km,0,---
2024/10/01,01:36:35.5,福島県沖,37°47.0′N,142°19.0′E,30 km,1.1,---
2024/10/01,01:37:04.3,富山湾,37°23.0′N,137°16.0′E,14 km,0.4,---
2024/10/01,01:38:54.3,宮城県北部,38°54.0′N,141°30.0′E,95 km,0.3,---
2024/10/01,01:40:17.2,日高地方西部,42°40.0′N,142°16.0′E,6 km,0.2,---
2024/10/01,01:41:35.4,石川県西方沖,37°1.0′N,136°27.0′E,8 km,2.5,---
2024/10/01,01:45:04.7,岩手県沖,39°14.0′N,142°23.0′E,34 km,1.1,---
2024/10/01,01:47:08.8,沖縄本島近海,26°41.0′N,128°9.0′E,20 km,1.1,---
2024/10/01,01:48:07.0,石川県能登地方,37°31.0′N,137°19.0′E,13 km,0.2,---
2024/10/01,01:49:55.2,石川県能登地方,37°17.0′N,136°48.0′E,11 km,-10.2,---
2024/10/01,01:52:23.8,宮城県沖,37°58.0′N,141°48.0′E,52 km,0.9,---
2024/10/01,01:53:31.9,石川県能登地方,37°29.0′N,137°10.0′E,10 km,0.3,---
2024/10/01,01:54:17.5,奄美大島近海,28°10.0′N,129°17.0′E,26 km,1.5,---
2024/10/01,01:55:41.0,石川県加賀地方,36°30.0′N,136°40.0′E,10 km,0.6,---
2024/10/01,01:56:37.1,宮城県北部,38°52.0′N,140°51.0′E,8 km,0.3,---
2024/10/01,01:57:16.7,茨城県南部,36°3.0′N,140°25.0′E,30 km,0.5,---
2024/10/01,02:02:59.5,秋田県沖,39°33.0′N,139°34.0′E,22 km,1.1,---
2024/10/01,02:04:05.4,台湾付近,24°20.0′N,121°46.0′E,26 km,2.7,---
2024/10/01,02:06:13.0,岐阜県美濃中西部,35°38.0′N,136°48.0′E,12 km,-10.1,---
2024/10/01,02:07:16.5,石川県西方沖,37°1.0′N,136°27.0′E,9 km,2,---
2024/10/01,02:09:39.3,栃木県南部,36°37.0′N,139°38.0′E,8 km,0.3,---
2024/10/01,02:11:34.9,福島県沖,37°24.0′N,141°57.0′E,34 km,1.1,---
2024/10/01,02:12:50.5,石川県能登地方,37°20.0′N,137°2.0′E,11 km,0.7,---
2024/10/01,02:14:09.0,青森県下北地方,41°12.0′N,140°56.0′E,8 km,0.6,---
2024/10/01,02:17:36.6,紀伊水道,33°39.0′N,135°13.0′E,23 km,0.4,---
2024/10/01,02:20:15.4,福島県沖,37°40.0′N,141°41.0′E,52 km,0.8,---
2024/10/01,02:20:26.8,石川県能登地方,37°12.0′N,136°48.0′E,9 km,1,---
2024/10/01,02:20:58.6,愛知県西部,35°12.0′N,137°15.0′E,42 km,0.3,---
2024/10/01,02:23:56.5,能登半島沖,37°7.0′N,136°38.0′E,9 km,1.5,---
2024/10/01,02:25:58.5,岐阜県美濃中西部,35°35.0′N,136°41.0′E,8 km,0.9,---
2024/10/01,02:26:06.7,鹿児島県薩摩地方,31°22.0′N,130°26.0′E,154 km,1.4,---
2024/10/01,02:27:43.8,福島県沖,37°20.0′N,141°10.0′E,63 km,1,---
2024/10/01,02:34:56.2,石川県能登地方,37°27.0′N,137°8.0′E,13 km,1.2,---
2024/10/01,02:37:45.4,福島県沖,37°32.0′N,141°22.0′E,53 km,1.8,---
2024/10/01,02:38:16.5,石川県能登地方,37°8.0′N,136°49.0′E,9 km,-10.4,---
2024/10/01,02:40:19.7,能登半島沖,37°8.0′N,136°39.0′E,3 km,-10.2,---
2024/10/01,02:47:57.2,福島県沖,37°50.0′N,141°36.0′E,48 km,0.6,---
