地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/07/21,00:01:08.9,福島県沖,36°46.0′N,141°44.0′E,25 km,1.1,---
2024/07/21,00:01:14.1,岩手県沖,39°35.0′N,142°6.0′E,26 km,0.3,---
2024/07/21,00:04:12.4,石川県能登地方,37°9.0′N,136°43.0′E,6 km,0.5,---
2024/07/21,00:07:07.5,石川県能登地方,37°22.0′N,136°50.0′E,11 km,0.3,---
2024/07/21,00:08:57.6,三重県北部,34°54.0′N,136°26.0′E,15 km,-10.2,---
2024/07/21,00:10:54.1,大阪府北部,34°52.0′N,135°35.0′E,11 km,0.2,---
2024/07/21,00:12:52.3,和歌山県北部,33°60.0′N,135°8.0′E,7 km,3,---
2024/07/21,00:17:04.8,岐阜県美濃中西部,35°38.0′N,136°36.0′E,15 km,0.4,---
2024/07/21,00:17:48.0,岩手県沿岸北部,40°9.0′N,141°41.0′E,72 km,0.2,---
2024/07/21,00:19:30.1,岩手県内陸北部,40°9.0′N,141°11.0′E,11 km,0.1,---
2024/07/21,00:21:21.3,茨城県南部,36°9.0′N,140°5.0′E,64 km,1,---
2024/07/21,00:22:36.4,福島県沖,37°6.0′N,142°13.0′E,15 km,1.3,---
2024/07/21,00:23:04.6,宮城県北部,38°56.0′N,140°52.0′E,7 km,0.2,---
2024/07/21,00:25:37.0,石川県能登地方,37°28.0′N,137°18.0′E,10 km,0.4,---
2024/07/21,00:27:10.0,安芸灘,33°59.0′N,132°44.0′E,42 km,0.3,---
2024/07/21,00:28:11.7,石川県能登地方,37°11.0′N,136°51.0′E,10 km,1,---
2024/07/21,00:28:35.0,与那国島近海,24°52.0′N,122°27.0′E,0 km,2.8,---
2024/07/21,00:28:39.4,宮城県沖,38°21.0′N,142°6.0′E,28 km,0.5,---
2024/07/21,00:33:04.4,八丈島東方沖,33°30.0′N,141°0.0′E,49 km,2.3,---
2024/07/21,00:34:44.2,三宅島近海,33°49.0′N,139°24.0′E,19 km,3.7,---
2024/07/21,00:34:48.2,有明海,32°47.0′N,130°33.0′E,8 km,-10.2,---
2024/07/21,00:37:36.0,栃木県南部,36°20.0′N,139°46.0′E,70 km,0.1,---
2024/07/21,00:38:33.2,愛知県東部,34°52.0′N,137°32.0′E,37 km,-10.2,---
2024/07/21,00:54:43.5,石川県能登地方,37°20.0′N,136°56.0′E,10 km,0.8,---
2024/07/21,00:55:43.9,石川県能登地方,37°32.0′N,137°19.0′E,11 km,0.6,---
2024/07/21,00:56:58.1,和歌山県南部,33°53.0′N,135°26.0′E,23 km,-10.2,---
2024/07/21,00:59:53.3,和歌山県北部,34°6.0′N,135°11.0′E,7 km,0.4,---
2024/07/21,01:00:15.3,奄美大島北東沖,29°24.0′N,130°28.0′E,32 km,2,---
2024/07/21,01:00:54.8,渡島地方東部,42°6.0′N,140°46.0′E,22 km,0.4,---
2024/07/21,01:01:45.0,能登半島沖,37°31.0′N,137°15.0′E,11 km,0.5,---
2024/07/21,01:02:42.2,宮城県沖,38°8.0′N,142°23.0′E,28 km,1.2,---
2024/07/21,01:04:29.1,熊本県熊本地方,32°51.0′N,130°37.0′E,6 km,-10.1,---
2024/07/21,01:05:28.4,福島県沖,37°41.0′N,142°20.0′E,23 km,1.4,---
2024/07/21,01:10:54.0,岩手県内陸北部,40°8.0′N,141°11.0′E,11 km,-10.1,---
2024/07/21,01:11:47.5,静岡県中部,35°1.0′N,138°18.0′E,23 km,0.1,---
2024/07/21,01:15:46.3,秋田県沖,40°7.0′N,139°19.0′E,16 km,1.2,---
2024/07/21,01:16:45.8,岐阜県飛騨地方,36°3.0′N,137°35.0′E,8 km,0.1,---
2024/07/21,01:18:14.3,岩手県内陸南部,38°56.0′N,141°29.0′E,68 km,0.2,---
2024/07/21,01:23:42.5,日向灘,32°11.0′N,131°50.0′E,33 km,2.1,---
2024/07/21,01:24:42.1,石川県能登地方,37°19.0′N,136°50.0′E,9 km,0.9,---
2024/07/21,01:25:59.9,茨城県沖,36°44.0′N,141°32.0′E,33 km,1.5,---
2024/07/21,01:26:21.0,佐渡付近,37°51.0′N,137°44.0′E,23 km,1.5,---
2024/07/21,01:29:48.7,岐阜県飛騨地方,35°59.0′N,137°31.0′E,10 km,0.8,---
2024/07/21,01:32:15.8,岩手県内陸北部,40°8.0′N,141°10.0′E,12 km,0.2,---
2024/07/21,01:35:11.6,群馬県南部,36°35.0′N,139°27.0′E,9 km,-10.5,---
2024/07/21,01:35:29.4,愛知県西部,35°8.0′N,137°18.0′E,43 km,1.3,---
2024/07/21,01:36:56.2,富山県西部,36°26.0′N,136°49.0′E,11 km,0.6,---
2024/07/21,01:37:03.8,秋田県沖,39°20.0′N,139°30.0′E,212 km,1.9,---
2024/07/21,01:38:05.1,岩手県内陸北部,40°8.0′N,141°10.0′E,10 km,1,---
