地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/07/30,00:03:41.7,橘湾,32°38.0′N,130°0.0′E,13 km,-10.3,---
2024/07/30,00:04:31.8,茨城県沖,36°34.0′N,141°4.0′E,28 km,0.9,---
2024/07/30,00:05:04.7,トカラ列島近海,29°16.0′N,129°7.0′E,6 km,2,---
2024/07/30,00:05:18.3,十勝沖,41°15.0′N,143°57.0′E,23 km,2.9,---
2024/07/30,00:05:20.5,山梨県中・西部,35°16.0′N,138°26.0′E,20 km,0.7,---
2024/07/30,00:14:27.6,十勝沖,42°29.0′N,143°58.0′E,55 km,1.4,---
2024/07/30,00:15:01.9,佐賀県南部,32°60.0′N,130°13.0′E,10 km,0.4,---
2024/07/30,00:15:12.3,京都府南部,34°59.0′N,135°39.0′E,13 km,0.2,---
2024/07/30,00:15:28.9,トカラ列島近海,29°15.0′N,129°7.0′E,6 km,2.1,---
2024/07/30,00:16:28.4,福島県沖,36°52.0′N,141°22.0′E,10 km,1.2,---
2024/07/30,00:17:04.3,静岡県西部,34°48.0′N,137°53.0′E,31 km,1.3,---
2024/07/30,00:18:19.5,伊予灘,33°30.0′N,131°51.0′E,75 km,1.6,---
2024/07/30,00:20:29.0,和歌山県北部,34°5.0′N,135°12.0′E,6 km,0.3,---
2024/07/30,00:24:57.7,トカラ列島近海,29°15.0′N,129°8.0′E,9 km,2.1,---
2024/07/30,00:26:02.5,トカラ列島近海,29°16.0′N,129°6.0′E,0 km,2.4,---
2024/07/30,00:26:51.1,石川県能登地方,37°29.0′N,137°16.0′E,15 km,0.7,---
2024/07/30,00:30:45.9,福島県沖,37°18.0′N,144°52.0′E,44 km,2.2,---
2024/07/30,00:31:41.7,トカラ列島近海,29°15.0′N,129°7.0′E,6 km,2,---
2024/07/30,00:32:28.8,福島県会津,37°5.0′N,139°26.0′E,8 km,0.5,---
2024/07/30,00:35:14.3,トカラ列島近海,29°16.0′N,129°11.0′E,3 km,1.7,---
2024/07/30,00:37:40.8,三陸沖,37°55.0′N,144°27.0′E,28 km,1.6,---
2024/07/30,00:39:30.3,和歌山県北部,34°5.0′N,135°23.0′E,10 km,0.1,---
2024/07/30,00:41:28.6,天草灘,32°30.0′N,129°56.0′E,13 km,0.1,---
2024/07/30,00:42:14.1,青森県東方沖,40°45.0′N,143°15.0′E,9 km,-1,---
2024/07/30,00:44:01.5,鳥取県東部,35°21.0′N,134°14.0′E,6 km,2.5,---
2024/07/30,00:44:27.3,福島県会津,37°1.0′N,139°27.0′E,5 km,0.5,---
2024/07/30,00:46:15.9,トカラ列島近海,29°15.0′N,129°5.0′E,7 km,2.7,---
2024/07/30,00:48:08.6,福島県沖,37°52.0′N,141°37.0′E,49 km,0.9,---
