地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/08/18,00:02:48.5,宮崎県南部山沿い,31°57.0′N,130°54.0′E,5 km,-10.1,---
2024/08/18,00:06:54.4,石川県能登地方,37°21.0′N,136°51.0′E,8 km,0.4,---
2024/08/18,00:09:11.5,岐阜県美濃中西部,35°34.0′N,136°33.0′E,15 km,0.1,---
2024/08/18,00:11:57.0,千葉県東方沖,35°30.0′N,141°47.0′E,18 km,1.3,---
2024/08/18,00:12:26.3,能登半島沖,37°7.0′N,136°40.0′E,8 km,0.4,---
2024/08/18,00:14:43.0,宮古島北西沖,25°41.0′N,124°58.0′E,10 km,2.7,---
2024/08/18,00:18:39.9,宮城県沖,38°17.0′N,142°7.0′E,35 km,1.6,---
2024/08/18,00:19:30.8,台湾付近,24°2.0′N,122°6.0′E,32 km,2.6,---
2024/08/18,00:22:50.6,石川県能登地方,37°31.0′N,137°14.0′E,9 km,0.7,---
2024/08/18,00:22:51.6,鹿児島県薩摩地方,31°15.0′N,130°32.0′E,4 km,1.1,---
2024/08/18,00:23:18.8,大阪府北部,34°59.0′N,135°22.0′E,6 km,2,---
2024/08/18,00:24:17.5,熊本県熊本地方,32°41.0′N,130°44.0′E,15 km,0,---
2024/08/18,00:24:23.0,大隅半島東方沖,31°12.0′N,131°45.0′E,37 km,0.7,---
2024/08/18,00:28:23.7,日向灘,31°45.0′N,131°33.0′E,19 km,0.1,---
2024/08/18,00:31:42.2,茨城県沖,36°38.0′N,141°38.0′E,28 km,1.8,---
2024/08/18,00:31:45.6,石川県能登地方,37°20.0′N,136°58.0′E,8 km,0.3,---
2024/08/18,00:33:22.4,大阪湾,34°27.0′N,134°59.0′E,12 km,0.8,---
2024/08/18,00:34:21.7,有明海,32°47.0′N,130°35.0′E,13 km,0.2,---
2024/08/18,00:34:45.5,薩摩半島西方沖,31°36.0′N,129°25.0′E,12 km,-10.2,---
2024/08/18,00:43:50.5,神奈川県西部,35°25.0′N,139°9.0′E,12 km,1.1,---
2024/08/18,00:45:56.4,十勝沖,42°29.0′N,143°33.0′E,55 km,0.8,---
2024/08/18,00:49:26.0,奄美大島近海,27°59.0′N,128°60.0′E,19 km,1,---
2024/08/18,00:53:27.7,鹿児島県薩摩地方,31°15.0′N,130°32.0′E,6 km,0.5,---
2024/08/18,00:54:26.6,宮古島近海,24°45.0′N,125°7.0′E,16 km,1.3,---
2024/08/18,00:58:02.3,神奈川県西部,35°25.0′N,139°10.0′E,13 km,0.1,---
2024/08/18,01:02:04.6,石川県西方沖,37°5.0′N,136°25.0′E,10 km,0.6,---
2024/08/18,01:03:32.7,種子島近海,30°14.0′N,130°51.0′E,9 km,1.2,---
2024/08/18,01:05:48.8,宮崎県南部山沿い,31°57.0′N,130°54.0′E,4 km,-10.4,---
2024/08/18,01:09:01.7,和歌山県南部,33°52.0′N,135°39.0′E,43 km,0.4,---
2024/08/18,01:11:00.1,日向灘,31°51.0′N,131°36.0′E,35 km,0.8,---
2024/08/18,01:11:24.7,愛知県東部,35°4.0′N,137°43.0′E,16 km,0.1,---
2024/08/18,01:14:50.3,福島県沖,37°20.0′N,141°57.0′E,30 km,1.2,---
2024/08/18,01:15:22.7,鹿児島湾,31°34.0′N,130°36.0′E,7 km,1.1,---
2024/08/18,01:18:28.9,台湾付近,24°23.0′N,121°51.0′E,23 km,3.1,---
2024/08/18,01:21:10.5,日向灘,31°47.0′N,131°48.0′E,19 km,0.5,---
2024/08/18,01:24:22.4,福島県沖,36°57.0′N,141°53.0′E,26 km,1.2,---
2024/08/18,01:25:28.3,茨城県沖,36°21.0′N,140°58.0′E,41 km,1.1,---
2024/08/18,01:27:41.2,岡山県北部,35°3.0′N,134°9.0′E,16 km,0.2,---
2024/08/18,01:29:55.9,能登半島沖,37°8.0′N,136°39.0′E,10 km,0.1,---
2024/08/18,01:31:05.2,東京都多摩西部,35°47.0′N,139°5.0′E,123 km,1.1,---
2024/08/18,01:31:50.0,新潟県中越地方,37°14.0′N,138°55.0′E,9 km,0.3,---
2024/08/18,01:32:08.0,紀伊水道,33°52.0′N,135°0.0′E,8 km,1,---
2024/08/18,01:37:40.5,薩摩半島西方沖,31°23.0′N,129°26.0′E,1 km,1.3,---
2024/08/18,01:38:59.2,岩手県内陸北部,40°9.0′N,141°11.0′E,10 km,3,---
