地震の発生日時,震央地名,緯度,経度,深さ,Ｍ,最大震度
2023/05/28 00:00:35.8,トカラ列島近海,29.968333333333334,129.96166666666667,7,3.1,-
2023/05/28 00:00:44.1,福島県沖,37.846666666666664,141.57833333333335,47,1.2,-
2023/05/28 00:02:03.3,トカラ列島近海,29.965,129.98166666666665,4,2.2,-
2023/05/28 00:02:51.1,トカラ列島近海,29.946666666666665,129.98,10,-1,-
2023/05/28 00:03:25.8,神奈川県西部,35.21666666666667,139.09333333333333,9,0.9,-
2023/05/28 00:03:54.4,トカラ列島近海,29.951666666666668,129.97833333333332,10,1.7,-
2023/05/28 00:04:25.5,トカラ列島近海,29.965,129.975,2,1.6,-
2023/05/28 00:05:43.2,能登半島沖,37.53666666666667,137.335,13,0.3,-
2023/05/28 00:06:13.0,トカラ列島近海,29.938333333333333,130.01833333333335,8,1.7,-
2023/05/28 00:06:43.3,トカラ列島近海,29.938333333333333,129.99666666666667,9,1.7,-
2023/05/28 00:07:50.5,千葉県東方沖,35.67,140.72,43,1.1,-
2023/05/28 00:08:01.2,トカラ列島近海,29.94,129.98833333333334,10,2,-
2023/05/28 00:09:32.1,青森県津軽南部,40.47,140.745,5,0.5,-
2023/05/28 00:09:34.4,福島県会津,37.04,139.38,6,-10.3,-
2023/05/28 00:10:27.9,福島県沖,37.675,142.07166666666666,19,1.2,-
2023/05/28 00:11:03.7,岩手県沿岸北部,39.763333333333335,141.83166666666668,57,1.1,-
2023/05/28 00:11:51.3,茨城県沖,36.235,140.855,45,0.7,-
2023/05/28 00:13:04.6,トカラ列島近海,29.951666666666668,129.98666666666668,9,2,-
2023/05/28 00:13:41.8,三陸沖,37.916666666666664,144.815,32,1.9,-
2023/05/28 00:13:43.0,能登半島沖,37.6,137.35333333333332,9,0,-
2023/05/28 00:13:48.3,福島県沖,37.84,141.58,49,1.3,-
2023/05/28 00:15:06.5,トカラ列島近海,29.96,129.96666666666667,8,1.8,-
2023/05/28 00:18:48.6,トカラ列島近海,29.945,129.96666666666667,13,1.6,-
