地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/06/21,00:08:19.9,京都府南部,34°59.0′N,135°37.0′E,12 km,1.8,---
2024/06/21,00:18:31.8,三陸沖,39°24.0′N,143°43.0′E,12 km,1.5,---
2024/06/21,00:19:48.9,岩手県沿岸北部,40°3.0′N,141°47.0′E,55 km,0.2,---
2024/06/21,00:20:10.0,石川県能登地方,37°23.0′N,136°58.0′E,8 km,1.7,---
2024/06/21,00:20:33.5,石川県能登地方,37°19.0′N,136°54.0′E,12 km,1.6,---
2024/06/21,00:22:02.3,福島県沖,37°43.0′N,141°35.0′E,54 km,1.7,---
2024/06/21,00:22:09.2,佐渡付近,37°42.0′N,137°43.0′E,22 km,0.5,---
2024/06/21,00:26:26.3,房総半島南方沖,34°22.0′N,140°6.0′E,82 km,3.2,---
2024/06/21,00:27:23.6,浦河沖,41°54.0′N,143°1.0′E,47 km,1.4,---
2024/06/21,00:32:40.1,和歌山県北部,33°53.0′N,135°20.0′E,11 km,0.1,---
2024/06/21,00:36:35.4,壱岐・対馬近海,33°21.0′N,129°48.0′E,12 km,1.1,---
2024/06/21,00:40:55.2,茨城県北部,36°42.0′N,140°36.0′E,9 km,-10.1,---
2024/06/21,00:44:10.3,三河湾,34°46.0′N,137°15.0′E,33 km,0.3,---
2024/06/21,00:44:47.3,石川県能登地方,37°21.0′N,136°50.0′E,8 km,0.8,---
2024/06/21,00:45:41.0,三陸沖,39°45.0′N,143°22.0′E,13 km,1.1,---
2024/06/21,00:45:46.5,福島県沖,37°52.0′N,141°38.0′E,48 km,1,---
2024/06/21,00:47:27.4,長野県南部,35°51.0′N,138°2.0′E,9 km,-10.1,---
2024/06/21,00:51:33.5,岐阜県飛騨地方,36°22.0′N,137°12.0′E,10 km,-10.5,---
2024/06/21,00:59:07.1,三河湾,34°46.0′N,137°15.0′E,33 km,0.9,---
2024/06/21,00:59:55.5,宮城県沖,38°30.0′N,142°5.0′E,28 km,1,---
2024/06/21,01:00:19.6,和歌山県南部,33°45.0′N,135°37.0′E,19 km,0,---
2024/06/21,01:02:51.7,岩手県沖,39°15.0′N,142°24.0′E,33 km,0.9,---
2024/06/21,01:04:15.2,石川県能登地方,37°27.0′N,137°13.0′E,12 km,0.7,---
2024/06/21,01:06:46.3,佐渡付近,37°45.0′N,137°41.0′E,15 km,0.6,---
2024/06/21,01:10:00.6,兵庫県南東部,34°57.0′N,135°22.0′E,12 km,0.2,---
2024/06/21,01:14:36.2,茨城県沖,36°20.0′N,141°7.0′E,37 km,1.3,---
2024/06/21,01:14:41.3,和歌山県北部,33°57.0′N,135°21.0′E,7 km,0.5,---
2024/06/21,01:17:16.8,長野県南部,35°45.0′N,137°59.0′E,6 km,-10.3,---
2024/06/21,01:20:29.4,石川県能登地方,37°19.0′N,136°59.0′E,11 km,0.4,---
2024/06/21,01:20:57.9,福島県沖,37°50.0′N,141°38.0′E,47 km,0.9,---
2024/06/21,01:21:19.1,栃木県北部,36°38.0′N,139°29.0′E,9 km,0.2,---
2024/06/21,01:22:36.8,石川県能登地方,37°11.0′N,136°49.0′E,10 km,0.4,---
2024/06/21,01:22:52.7,石川県能登地方,37°19.0′N,136°52.0′E,10 km,1.7,---
2024/06/21,01:23:40.6,石川県能登地方,37°21.0′N,136°57.0′E,13 km,0.5,---
2024/06/21,01:27:42.7,石川県能登地方,37°20.0′N,136°55.0′E,11 km,0.5,---
2024/06/21,01:29:09.7,岩手県沖,39°25.0′N,142°29.0′E,33 km,1,---
2024/06/21,01:29:09.9,島根県西部,35°6.0′N,132°33.0′E,12 km,0.6,---
2024/06/21,01:29:34.9,石川県能登地方,37°27.0′N,137°19.0′E,12 km,0.2,---
2024/06/21,01:32:21.7,三河湾,34°46.0′N,137°15.0′E,34 km,1.6,---
2024/06/21,01:33:14.3,鳥取県東部,35°30.0′N,134°20.0′E,8 km,0.2,---
2024/06/21,01:34:45.1,三河湾,34°45.0′N,137°16.0′E,33 km,1.7,---
2024/06/21,01:36:34.9,石川県能登地方,37°29.0′N,137°9.0′E,0 km,-10.1,---
2024/06/21,01:36:53.2,岩手県沖,39°22.0′N,142°21.0′E,34 km,1,---
2024/06/21,01:40:56.9,能登半島沖,37°32.0′N,137°9.0′E,0 km,0.1,---
2024/06/21,01:41:07.2,宮城県沖,37°58.0′N,142°26.0′E,25 km,0.9,---
2024/06/21,01:42:08.2,長野県南部,35°52.0′N,137°39.0′E,14 km,0.1,---
2024/06/21,01:42:30.7,京都府南部,35°22.0′N,135°37.0′E,12 km,1.1,---
2024/06/21,01:44:57.3,宮古島近海,25°21.0′N,125°26.0′E,24 km,2.2,---
2024/06/21,01:46:11.4,宮城県沖,38°15.0′N,142°23.0′E,30 km,0.9,---
2024/06/21,01:49:27.0,福島県沖,37°5.0′N,141°10.0′E,21 km,0.4,---
2024/06/21,01:49:27.5,岩手県沖,39°23.0′N,142°17.0′E,36 km,0.5,---
2024/06/21,01:54:32.6,福島県沖,37°17.0′N,141°47.0′E,37 km,1.1,---
2024/06/21,01:57:03.5,能登半島沖,37°13.0′N,136°41.0′E,5 km,0.2,---
2024/06/21,02:01:00.0,岩手県沖,39°22.0′N,142°21.0′E,35 km,0.9,---
2024/06/21,02:01:43.8,石川県能登地方,37°23.0′N,137°0.0′E,7 km,1.3,---
2024/06/21,02:01:51.2,茨城県沖,36°28.0′N,140°60.0′E,9 km,1.3,---
2024/06/21,02:02:48.5,茨城県南部,36°11.0′N,140°7.0′E,65 km,0.3,---
2024/06/21,02:04:09.8,茨城県沖,35°55.0′N,141°2.0′E,10 km,1.1,---
2024/06/21,02:05:39.9,十勝地方中部,42°49.0′N,142°53.0′E,121 km,1.3,---
2024/06/21,02:05:41.4,岐阜県飛騨地方,36°0.0′N,137°32.0′E,9 km,0.5,---
2024/06/21,02:07:29.7,富山湾,37°23.0′N,137°23.0′E,11 km,-10.1,---
2024/06/21,02:09:59.8,千葉県北西部,35°52.0′N,140°28.0′E,34 km,0.6,---
2024/06/21,02:10:58.7,岐阜県飛騨地方,35°59.0′N,137°32.0′E,10 km,0,---
2024/06/21,02:13:09.8,宮城県沖,38°21.0′N,142°9.0′E,36 km,0.5,---
2024/06/21,02:16:44.9,栃木県北部,36°52.0′N,140°3.0′E,123 km,1.2,---
2024/06/21,02:19:17.2,福島県沖,37°52.0′N,141°35.0′E,47 km,0.9,---
2024/06/21,02:20:27.5,和歌山県北部,34°13.0′N,135°14.0′E,6 km,0.1,---
2024/06/21,02:20:45.3,新潟県上中越沖,37°39.0′N,137°35.0′E,0 km,1,---
2024/06/21,02:20:47.6,千葉県南部,35°16.0′N,139°53.0′E,24 km,1,---
2024/06/21,02:22:10.9,石川県能登地方,37°30.0′N,137°11.0′E,13 km,0,---
2024/06/21,02:22:31.0,安芸灘,34°0.0′N,132°24.0′E,46 km,0.9,---
2024/06/21,02:28:53.5,日高地方西部,42°50.0′N,142°40.0′E,105 km,1.9,---
2024/06/21,02:30:40.3,北海道東方沖,43°38.0′N,147°20.0′E,45 km,2.1,---
2024/06/21,02:31:03.0,秋田県内陸北部,40°5.0′N,140°38.0′E,8 km,0,---
2024/06/21,02:32:48.6,三重県中部,34°35.0′N,136°33.0′E,15 km,1.4,---
2024/06/21,02:38:27.3,石川県能登地方,37°22.0′N,136°58.0′E,7 km,-10.1,---
2024/06/21,02:40:32.7,千葉県南東沖,34°36.0′N,140°24.0′E,49 km,1.4,---
2024/06/21,02:44:44.4,和歌山県南部,33°40.0′N,135°33.0′E,37 km,0.3,---
2024/06/21,02:46:00.6,沖縄本島近海,26°11.0′N,127°24.0′E,28 km,1.3,---
2024/06/21,02:48:49.9,奄美大島近海,26°41.0′N,130°12.0′E,47 km,2.2,---
2024/06/21,02:51:33.8,豊後水道,33°13.0′N,132°21.0′E,36 km,0.7,---
2024/06/21,02:52:00.3,豊後水道,32°55.0′N,132°33.0′E,31 km,0.8,---
2024/06/21,02:52:43.4,石川県能登地方,37°18.0′N,136°56.0′E,14 km,0,---
2024/06/21,02:54:00.2,石川県能登地方,37°22.0′N,136°54.0′E,12 km,0.1,---
2024/06/21,02:54:33.9,三重県中部,34°39.0′N,136°32.0′E,16 km,0.5,---
2024/06/21,02:54:50.0,富山湾,37°23.0′N,137°21.0′E,11 km,0.1,---
2024/06/21,03:00:04.2,愛知県西部,35°14.0′N,137°13.0′E,43 km,0.5,---
2024/06/21,03:02:41.3,石川県能登地方,37°27.0′N,137°8.0′E,12 km,0.2,---
2024/06/21,03:03:15.7,十勝地方北部,43°21.0′N,143°4.0′E,7 km,0.1,---
2024/06/21,03:04:20.4,茨城県沖,36°47.0′N,141°4.0′E,40 km,0.7,---
2024/06/21,03:10:08.4,石川県能登地方,37°22.0′N,137°0.0′E,7 km,0.4,---
2024/06/21,03:11:44.4,石川県能登地方,37°17.0′N,136°50.0′E,11 km,0.5,---
2024/06/21,03:13:04.7,島根県西部,34°52.0′N,132°11.0′E,10 km,0.8,---
2024/06/21,03:15:18.0,宮城県沖,37°56.0′N,141°43.0′E,55 km,2.5,---
2024/06/21,03:15:36.6,長野県南部,35°55.0′N,137°42.0′E,8 km,0,---
2024/06/21,03:17:51.1,茨城県北部,36°49.0′N,140°32.0′E,9 km,0.9,---
2024/06/21,03:18:32.5,駿河湾,34°53.0′N,138°20.0′E,27 km,0.7,---
2024/06/21,03:22:00.5,長野県北部,36°48.0′N,138°4.0′E,0 km,0,---
2024/06/21,03:23:38.8,三河湾,34°46.0′N,137°15.0′E,33 km,0.7,---
2024/06/21,03:28:30.5,沖縄本島近海,24°28.0′N,127°32.0′E,63 km,2.9,---
2024/06/21,03:31:18.6,茨城県北部,36°45.0′N,140°35.0′E,12 km,0.1,---
2024/06/21,03:32:07.5,東京湾,35°29.0′N,139°43.0′E,22 km,0.8,---
2024/06/21,03:33:33.8,福島県会津,37°3.0′N,139°23.0′E,6 km,0.1,---
2024/06/21,03:37:43.0,福島県沖,37°19.0′N,141°16.0′E,84 km,2.9,---
2024/06/21,03:38:00.1,石垣島北西沖,25°43.0′N,123°56.0′E,190 km,2.2,---
