地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/06/18,00:00:08.5,茨城県北部,36°40.0′N,140°34.0′E,94 km,0.7,---
2024/06/18,00:00:37.4,和歌山県北部,33°56.0′N,135°13.0′E,8 km,-10.4,---
2024/06/18,00:02:30.5,北海道東方沖,43°2.0′N,147°15.0′E,37 km,2.7,---
2024/06/18,00:09:58.3,宮城県沖,37°48.0′N,142°9.0′E,20 km,1.1,---
2024/06/18,00:15:38.1,能登半島沖,37°32.0′N,137°12.0′E,9 km,0.6,---
2024/06/18,00:17:05.5,栃木県北部,36°52.0′N,139°29.0′E,5 km,-10.3,---
2024/06/18,00:17:36.8,栃木県北部,36°52.0′N,139°29.0′E,4 km,0.2,---
2024/06/18,00:18:07.1,石川県能登地方,37°13.0′N,136°48.0′E,6 km,0.1,---
2024/06/18,00:19:18.0,日向灘,31°42.0′N,131°30.0′E,40 km,0.9,---
2024/06/18,00:20:14.8,宗谷東方沖,45°8.0′N,143°10.0′E,4 km,1.6,---
2024/06/18,00:22:19.6,福島県沖,37°25.0′N,141°54.0′E,41 km,1.2,---
2024/06/18,00:27:14.2,房総半島南方沖,33°58.0′N,140°17.0′E,62 km,0.9,---
2024/06/18,00:27:29.2,福島県沖,37°8.0′N,142°13.0′E,17 km,1.1,---
2024/06/18,00:27:33.2,三陸沖,40°39.0′N,145°16.0′E,23 km,1.4,---
2024/06/18,00:28:10.6,島根県東部,35°1.0′N,132°46.0′E,1 km,-10.3,---
2024/06/18,00:29:19.9,能登半島沖,37°37.0′N,137°20.0′E,10 km,1.1,---
2024/06/18,00:31:28.0,三重県南東沖,33°32.0′N,137°3.0′E,365 km,2.4,---
2024/06/18,00:31:33.7,岩手県内陸南部,39°23.0′N,141°13.0′E,82 km,0.8,---
2024/06/18,00:32:15.6,群馬県南部,36°34.0′N,139°23.0′E,2 km,-10.6,---
2024/06/18,00:32:45.8,三陸沖,38°37.0′N,144°22.0′E,23 km,0.9,---
2024/06/18,00:37:02.1,宮古島近海,25°16.0′N,124°57.0′E,72 km,1.9,---
2024/06/18,00:37:36.1,新潟県上中越沖,37°36.0′N,137°30.0′E,13 km,1.5,---
2024/06/18,00:37:40.9,岩手県内陸南部,39°2.0′N,140°54.0′E,9 km,0.8,---
2024/06/18,00:39:10.0,山梨県中・西部,35°19.0′N,138°29.0′E,13 km,0.3,---
2024/06/18,00:39:15.3,茨城県沖,36°21.0′N,140°48.0′E,37 km,0.5,---
2024/06/18,00:44:33.2,熊本県阿蘇地方,32°59.0′N,131°7.0′E,8 km,0.4,---
2024/06/18,00:51:38.5,宮崎県南部山沿い,31°53.0′N,131°4.0′E,2 km,0.3,---
2024/06/18,00:52:41.7,福島県沖,37°14.0′N,142°13.0′E,22 km,1.1,---
2024/06/18,00:53:39.5,栃木県北部,36°39.0′N,139°21.0′E,5 km,-10.1,---
2024/06/18,00:53:48.3,栃木県北部,36°38.0′N,139°25.0′E,7 km,-10.3,---
2024/06/18,00:54:08.9,豊後水道,33°13.0′N,132°21.0′E,36 km,0.7,---
2024/06/18,01:01:14.9,石川県能登地方,37°29.0′N,137°10.0′E,11 km,0.3,---
2024/06/18,01:01:17.4,愛媛県南予,33°23.0′N,132°9.0′E,50 km,0.3,---
2024/06/18,01:03:48.3,石川県能登地方,37°22.0′N,136°49.0′E,6 km,0.9,---
2024/06/18,01:10:03.4,岩手県沿岸北部,40°9.0′N,141°41.0′E,74 km,0,---
