地震の発生日時,震央地名,緯度,経度,深さ,Ｍ,最大震度
2023/12/01 00:00:14.5,茨城県沖,36.27166666666667,140.84166666666667,45,0.9,-
2023/12/01 00:07:03.5,房総半島南方沖,34.343333333333334,140.3,75,1.9,-
2023/12/01 00:11:27.3,熊本県熊本地方,32.37833333333333,130.68666666666667,9,1,-
2023/12/01 00:14:27.5,釧路沖,42.36,144.77666666666667,22,1.7,-
2023/12/01 00:26:28.5,福島県沖,37.413333333333334,141.71166666666667,41,1.4,-
2023/12/01 00:26:42.4,十勝地方北部,43.575,143.74,5,0.2,-
2023/12/01 00:31:52.3,和歌山県北部,34.245,135.42666666666668,8,0.2,-
2023/12/01 00:33:55.1,福島県会津,37.07,139.35666666666665,9,0.6,-
2023/12/01 00:35:06.6,石垣島近海,24.315,124.095,39,0.6,-
2023/12/01 00:37:59.3,宮城県沖,38.495,141.99666666666667,42,1.3,-
2023/12/01 00:47:01.5,岐阜県飛騨地方,36.01833333333333,137.545,5,-10.1,-
2023/12/01 00:48:36.7,熊本県熊本地方,32.38666666666666,130.67833333333334,9,0.1,-
2023/12/01 00:50:43.7,千葉県南東沖,34.655,140.665,40,1.4,-
2023/12/01 00:52:27.8,福島県中通り,36.92333333333333,140.58,66,0.6,-
2023/12/01 00:52:57.7,奄美大島近海,28.851666666666667,129.845,22,2.8,-
2023/12/01 00:53:49.4,埼玉県南部,35.968333333333334,139.55,27,0.7,-
2023/12/01 00:54:48.6,胆振地方中東部,42.63666666666667,141.32666666666665,6,0.8,-
2023/12/01 00:59:49.8,岩手県沿岸北部,39.905,141.77,54,0.3,-
2023/12/01 01:02:06.6,三陸沖,38.07833333333333,144.35333333333332,16,1.5,-
2023/12/01 01:04:25.5,兵庫県南東部,34.79833333333333,135.32666666666665,9,0.9,-
2023/12/01 01:11:44.6,宮城県沖,38.531666666666666,141.825,49,3,-
2023/12/01 01:14:20.7,佐賀県北部,33.285,129.95,10,0.2,-
2023/12/01 01:14:24.9,愛知県西部,34.901666666666664,136.89166666666668,16,0.8,-
2023/12/01 01:14:43.3,宮古島近海,24.28,125.16833333333334,28,2.9,-
2023/12/01 01:15:57.3,宮城県沖,38.23833333333334,142.16333333333333,33,1.2,-
2023/12/01 01:16:00.0,福岡県筑後地方,33.09,130.54666666666665,14,0.4,-
2023/12/01 01:17:12.3,香川県西部,34.15,133.80166666666668,13,0.7,-
2023/12/01 01:22:24.6,長野県南部,35.78333333333333,137.54,7,0,-
2023/12/01 01:22:31.7,西表島付近,24.333333333333332,123.67666666666666,18,1.6,-
2023/12/01 01:23:28.3,岩手県沖,40.211666666666666,141.92833333333334,13,0.3,-
2023/12/01 01:25:02.4,福島県沖,37.33,142.275,6,1.8,-
2023/12/01 01:25:15.9,長野県南部,35.855,138.02333333333334,9,0.2,-
