地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/11/17,00:00:33.7,岩手県沿岸北部,39°44.0′N,141°42.0′E,11 km,1.4,---
2024/11/17,00:01:02.9,福島県沖,37°50.0′N,141°37.0′E,49 km,1.7,---
2024/11/17,00:01:21.3,岐阜県飛騨地方,36°8.0′N,137°24.0′E,7 km,-10.5,---
2024/11/17,00:03:02.9,岐阜県美濃中西部,35°35.0′N,136°21.0′E,12 km,1.8,---
2024/11/17,00:03:04.9,石川県能登地方,37°28.0′N,137°16.0′E,12 km,0.9,---
2024/11/17,00:04:34.8,石川県能登地方,37°28.0′N,137°16.0′E,13 km,0.3,---
2024/11/17,00:06:12.7,石垣島近海,24°35.0′N,124°35.0′E,55 km,0.9,---
2024/11/17,00:08:39.4,福島県沖,37°24.0′N,141°56.0′E,38 km,1,---
2024/11/17,00:08:59.9,陸奥湾,41°2.0′N,141°4.0′E,9 km,0,---
2024/11/17,00:09:58.9,関東東方沖,34°32.0′N,141°33.0′E,1 km,1.4,---
2024/11/17,00:10:34.4,陸奥湾,41°2.0′N,141°4.0′E,9 km,1.3,---
2024/11/17,00:10:43.9,和歌山県北部,34°2.0′N,135°19.0′E,6 km,0.1,---
2024/11/17,00:12:39.6,陸奥湾,41°2.0′N,141°4.0′E,13 km,0.2,---
2024/11/17,00:14:10.8,群馬県南部,36°15.0′N,139°16.0′E,21 km,0.3,---
2024/11/17,00:18:23.8,岐阜県美濃中西部,35°35.0′N,136°21.0′E,12 km,0.1,---
2024/11/17,00:23:07.9,福井県嶺北,35°53.0′N,136°45.0′E,11 km,0.3,---
2024/11/17,00:24:18.6,福島県沖,37°51.0′N,141°37.0′E,48 km,0.9,---
2024/11/17,00:24:33.0,宮城県沖,38°12.0′N,141°43.0′E,49 km,1.2,---
2024/11/17,00:26:01.2,福島県沖,37°32.0′N,141°28.0′E,50 km,1.7,---
2024/11/17,00:26:15.4,宮崎県北部平野部,32°30.0′N,131°35.0′E,14 km,0.6,---
2024/11/17,00:27:25.4,青森県西方沖,40°50.0′N,139°15.0′E,13 km,1.6,---
2024/11/17,00:27:37.3,石川県能登地方,37°32.0′N,137°19.0′E,11 km,0.6,---
2024/11/17,00:28:14.9,能登半島沖,37°33.0′N,137°20.0′E,12 km,0.3,---
2024/11/17,00:28:33.5,新潟県中越地方,37°7.0′N,139°10.0′E,4 km,0.8,---
2024/11/17,00:28:54.4,新潟県中越地方,37°8.0′N,139°10.0′E,4 km,0.2,---
2024/11/17,00:33:20.4,陸奥湾,41°2.0′N,141°3.0′E,14 km,0.1,---
2024/11/17,00:38:36.9,大隅半島東方沖,31°11.0′N,131°24.0′E,36 km,0.8,---
2024/11/17,00:40:04.3,大阪府北部,34°53.0′N,135°39.0′E,12 km,0.3,---
2024/11/17,00:42:00.2,石川県西方沖,37°0.0′N,136°26.0′E,11 km,2.8,---
2024/11/17,00:43:21.1,福島県浜通り,37°9.0′N,140°44.0′E,94 km,1.3,---
