地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/11/22,00:02:43.2,宮崎県北部平野部,32°25.0′N,131°32.0′E,13 km,0.9,---
2024/11/22,00:03:53.4,日向灘,32°36.0′N,132°4.0′E,18 km,0.8,---
2024/11/22,00:06:44.5,青森県東方沖,40°34.0′N,142°27.0′E,39 km,0.8,---
2024/11/22,00:07:07.9,北海道東方沖,44°3.0′N,147°21.0′E,0 km,2.8,---
2024/11/22,00:11:36.8,福島県沖,37°43.0′N,144°38.0′E,30 km,1.4,---
2024/11/22,00:11:55.2,福島県沖,37°8.0′N,141°20.0′E,55 km,0.9,---
2024/11/22,00:18:17.8,広島県北部,35°2.0′N,132°54.0′E,12 km,0.3,---
2024/11/22,00:19:06.0,和歌山県南方沖,33°18.0′N,135°28.0′E,22 km,0.9,---
2024/11/22,00:20:41.9,日向灘,31°60.0′N,131°58.0′E,31 km,1.7,---
2024/11/22,00:26:20.5,和歌山県北部,33°58.0′N,135°7.0′E,10 km,0.8,---
2024/11/22,00:27:01.9,熊本県天草・芦北地方,32°10.0′N,130°32.0′E,8 km,0,---
2024/11/22,00:27:13.0,宮古島北西沖,25°59.0′N,124°48.0′E,121 km,3.3,---
2024/11/22,00:28:38.9,岩手県沖,39°59.0′N,142°7.0′E,39 km,0.6,---
2024/11/22,00:28:56.7,陸奥湾,41°1.0′N,141°4.0′E,13 km,0.2,---
2024/11/22,00:30:15.9,福島県沖,37°49.0′N,141°36.0′E,49 km,1,---
2024/11/22,00:31:53.1,新潟県中越地方,37°8.0′N,139°10.0′E,6 km,0.1,---
2024/11/22,00:31:56.2,福島県沖,37°51.0′N,141°34.0′E,47 km,0.7,---
2024/11/22,00:34:09.4,長野県中部,36°19.0′N,138°3.0′E,2 km,0.6,---
2024/11/22,00:34:12.1,新潟県下越沖,37°57.0′N,139°3.0′E,22 km,0.9,---
2024/11/22,00:36:29.8,石川県能登地方,37°13.0′N,136°51.0′E,11 km,0.6,---
2024/11/22,00:36:43.8,有明海,32°55.0′N,130°21.0′E,12 km,0.6,---
2024/11/22,00:38:05.3,石川県能登地方,37°30.0′N,137°13.0′E,12 km,0.7,---
2024/11/22,00:38:35.0,石川県能登地方,37°28.0′N,137°21.0′E,13 km,1.5,---
2024/11/22,00:41:01.7,熊本県熊本地方,32°40.0′N,130°43.0′E,15 km,1.9,---
2024/11/22,00:42:26.3,三陸沖,39°31.0′N,144°44.0′E,14 km,1.9,---
2024/11/22,00:43:45.3,岩手県沿岸北部,39°37.0′N,141°38.0′E,11 km,0.2,---
2024/11/22,00:44:49.3,陸奥湾,41°2.0′N,141°4.0′E,11 km,0.5,---
2024/11/22,00:46:33.8,陸奥湾,41°1.0′N,141°4.0′E,12 km,0,---
2024/11/22,00:49:15.8,宮城県沖,38°47.0′N,141°45.0′E,54 km,1,---
2024/11/22,00:49:36.4,長野県南部,35°54.0′N,137°38.0′E,7 km,-10.2,---
2024/11/22,00:49:56.5,能登半島沖,37°33.0′N,137°13.0′E,11 km,0.8,---
2024/11/22,00:56:14.7,静岡県中部,34°58.0′N,138°11.0′E,27 km,0,---
2024/11/22,00:56:22.9,福島県浜通り,37°2.0′N,140°39.0′E,7 km,0.8,---
2024/11/22,00:58:21.3,硫黄島近海,25°49.0′N,143°8.0′E,0 km,3.7,---
2024/11/22,01:01:40.4,豊後水道,33°16.0′N,132°19.0′E,38 km,0.9,---
2024/11/22,01:07:10.4,陸奥湾,41°2.0′N,141°4.0′E,6 km,0.6,---
2024/11/22,01:10:28.4,広島県南東部,34°39.0′N,133°24.0′E,11 km,1.2,---
2024/11/22,01:10:52.8,宮古島北西沖,26°5.0′N,125°15.0′E,0 km,3.2,---
2024/11/22,01:11:41.0,長野県南部,35°54.0′N,137°38.0′E,7 km,0.1,---
2024/11/22,01:14:01.5,遠州灘,34°14.0′N,137°6.0′E,27 km,0.9,---
2024/11/22,01:14:23.9,長野県南部,35°53.0′N,137°45.0′E,6 km,-10.2,---
2024/11/22,01:17:15.7,宮城県沖,38°36.0′N,142°32.0′E,44 km,1,---
2024/11/22,01:17:46.3,福島県沖,37°51.0′N,141°38.0′E,50 km,1.1,---
2024/11/22,01:20:51.4,沖縄本島近海,26°49.0′N,127°13.0′E,8 km,1.5,---
2024/11/22,01:21:27.8,福島県沖,37°53.0′N,141°38.0′E,48 km,0.8,---
2024/11/22,01:22:08.6,高知県中部,33°46.0′N,133°55.0′E,31 km,0.7,---
2024/11/22,01:22:37.0,有明海,32°57.0′N,130°16.0′E,12 km,1.7,---
2024/11/22,01:23:23.3,岩手県沖,39°55.0′N,142°8.0′E,40 km,0.6,---
2024/11/22,01:24:56.1,長野県中部,36°19.0′N,138°3.0′E,1 km,-10.3,---
2024/11/22,01:27:19.1,茨城県北部,36°45.0′N,140°35.0′E,9 km,0.2,---
2024/11/22,01:27:22.2,長野県中部,36°19.0′N,138°2.0′E,6 km,-10.2,---
2024/11/22,01:29:18.0,伊予灘,33°37.0′N,132°10.0′E,55 km,0.8,---
2024/11/22,01:29:39.1,福島県沖,37°23.0′N,141°14.0′E,84 km,1.5,---
2024/11/22,01:30:58.8,陸奥湾,41°2.0′N,141°4.0′E,3 km,0.1,---
2024/11/22,01:34:40.0,熊本県熊本地方,32°42.0′N,130°37.0′E,9 km,0.3,---
2024/11/22,01:35:02.7,陸奥湾,41°2.0′N,141°4.0′E,10 km,0.5,---
2024/11/22,01:39:41.4,滋賀県南部,34°56.0′N,135°54.0′E,10 km,0.3,---
2024/11/22,01:40:23.6,陸奥湾,41°2.0′N,141°4.0′E,8 km,0.6,---
2024/11/22,01:41:16.4,宮古島北西沖,26°4.0′N,125°16.0′E,0 km,3,---
2024/11/22,01:43:51.6,奄美大島近海,28°14.0′N,129°28.0′E,36 km,1.3,---
2024/11/22,01:44:01.1,山梨県中・西部,35°53.0′N,138°44.0′E,7 km,0,---
2024/11/22,01:44:08.1,陸奥湾,41°2.0′N,141°4.0′E,12 km,0.3,---
2024/11/22,01:46:46.6,宮古島北西沖,26°2.0′N,125°19.0′E,0 km,3.2,---
2024/11/22,01:48:42.6,福島県沖,37°14.0′N,142°8.0′E,22 km,1.6,---
2024/11/22,01:48:46.3,福島県浜通り,37°14.0′N,140°52.0′E,91 km,0.7,---
2024/11/22,01:49:30.6,陸奥湾,41°2.0′N,141°3.0′E,11 km,0.7,---
2024/11/22,01:55:01.8,石川県能登地方,37°16.0′N,136°50.0′E,9 km,1.1,---
2024/11/22,01:57:31.2,種子島南東沖,30°22.0′N,131°42.0′E,45 km,3,---
2024/11/22,02:01:49.1,愛媛県東予,34°1.0′N,133°41.0′E,9 km,0.2,---
2024/11/22,02:03:57.6,山梨県中・西部,35°20.0′N,138°32.0′E,15 km,0.1,---
2024/11/22,02:04:11.5,福島県沖,37°22.0′N,142°10.0′E,25 km,1.3,---
2024/11/22,02:05:41.5,岩手県沖,39°48.0′N,142°23.0′E,6 km,1,---
2024/11/22,02:13:47.8,陸奥湾,41°2.0′N,141°4.0′E,12 km,-10.3,---
2024/11/22,02:14:57.0,静岡県中部,35°1.0′N,138°18.0′E,17 km,0.7,---
2024/11/22,02:16:13.9,宮城県沖,37°52.0′N,141°51.0′E,48 km,1.1,---
2024/11/22,02:21:24.9,和歌山県南部,33°48.0′N,135°49.0′E,9 km,0.6,---
2024/11/22,02:27:30.5,薩摩半島西方沖,31°33.0′N,130°17.0′E,6 km,0.3,---
2024/11/22,02:28:21.5,日向灘,31°49.0′N,131°36.0′E,35 km,4.4,---
2024/11/22,02:28:56.9,岩手県沖,39°48.0′N,142°23.0′E,10 km,1.2,---
2024/11/22,02:37:49.7,神奈川県西部,35°24.0′N,139°9.0′E,14 km,-10.1,---
2024/11/22,02:38:32.0,陸奥湾,41°2.0′N,141°3.0′E,14 km,0.1,---
2024/11/22,02:42:53.1,秋田県沖,40°18.0′N,139°30.0′E,21 km,2.1,---
2024/11/22,02:43:07.3,台湾付近,23°12.0′N,121°27.0′E,10 km,-1,---
2024/11/22,02:44:03.4,石川県能登地方,37°23.0′N,136°52.0′E,6 km,1.2,---
2024/11/22,02:44:14.3,福島県沖,37°49.0′N,141°37.0′E,49 km,1.2,---
2024/11/22,02:46:19.5,宮城県沖,38°17.0′N,142°36.0′E,22 km,1.3,---
2024/11/22,02:47:32.6,愛知県東部,35°0.0′N,137°26.0′E,40 km,0.1,---
2024/11/22,02:49:39.3,茨城県北部,36°25.0′N,140°13.0′E,105 km,0.8,---
2024/11/22,02:51:39.2,福島県浜通り,36°57.0′N,140°37.0′E,16 km,0.4,---
2024/11/22,02:54:17.8,静岡県中部,35°1.0′N,138°18.0′E,16 km,0.4,---
2024/11/22,02:55:02.8,浦河沖,42°9.0′N,142°47.0′E,54 km,0.3,---
2024/11/22,02:55:23.2,陸奥湾,41°1.0′N,141°4.0′E,14 km,0.3,---
2024/11/22,03:05:48.5,岩手県内陸南部,39°7.0′N,140°55.0′E,10 km,0,---
2024/11/22,03:08:45.3,福島県沖,37°15.0′N,142°11.0′E,26 km,1.1,---
2024/11/22,03:09:12.0,有明海,32°55.0′N,130°20.0′E,13 km,0.3,---
2024/11/22,03:13:52.9,鹿児島県薩摩地方,32°15.0′N,130°17.0′E,8 km,0.9,---
2024/11/22,03:26:11.3,沖縄本島近海,26°48.0′N,127°13.0′E,12 km,1.6,---
2024/11/22,03:27:24.1,和歌山県南部,33°50.0′N,135°26.0′E,18 km,0.3,---
2024/11/22,03:28:05.0,長野県南部,35°53.0′N,138°2.0′E,1 km,-10.7,---
