地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/11/11,00:00:03.4,千葉県北西部,35°39.0′N,140°16.0′E,36 km,2.7,---
2024/11/11,00:01:28.9,千葉県北西部,35°39.0′N,140°16.0′E,35 km,0.8,---
2024/11/11,00:04:10.8,三陸沖,39°9.0′N,143°28.0′E,12 km,1.8,---
2024/11/11,00:04:20.8,千葉県北西部,35°39.0′N,140°17.0′E,33 km,0.6,---
2024/11/11,00:07:57.3,福島県沖,36°59.0′N,141°24.0′E,26 km,1.2,---
2024/11/11,00:08:37.8,大阪府北部,34°58.0′N,135°25.0′E,10 km,0.4,---
2024/11/11,00:09:16.4,福島県沖,37°20.0′N,144°14.0′E,21 km,1.6,---
2024/11/11,00:09:36.0,浦河沖,41°36.0′N,142°58.0′E,15 km,1,---
2024/11/11,00:11:15.6,紀伊水道,34°8.0′N,135°7.0′E,7 km,0.5,---
2024/11/11,00:12:18.0,岐阜県飛騨地方,36°3.0′N,137°35.0′E,7 km,0.2,---
2024/11/11,00:13:32.3,石川県能登地方,37°25.0′N,137°9.0′E,12 km,0.2,---
2024/11/11,00:16:54.1,奄美大島北西沖,29°6.0′N,128°26.0′E,144 km,2.3,---
2024/11/11,00:17:35.5,滋賀県北部,35°32.0′N,136°21.0′E,17 km,0.2,---
2024/11/11,00:18:12.9,和歌山県北部,34°1.0′N,135°14.0′E,6 km,0.4,---
2024/11/11,00:21:58.1,石川県能登地方,37°12.0′N,136°51.0′E,9 km,0.2,---
2024/11/11,00:22:31.8,福島県会津,37°42.0′N,140°1.0′E,6 km,0.3,---
2024/11/11,00:23:34.7,栃木県北部,36°52.0′N,139°27.0′E,4 km,0,---
2024/11/11,00:24:21.7,岩手県内陸南部,39°6.0′N,140°52.0′E,12 km,0,---
2024/11/11,00:24:36.3,茨城県北部,36°48.0′N,140°35.0′E,8 km,1.9,---
2024/11/11,00:30:33.6,群馬県南部,36°34.0′N,139°26.0′E,6 km,-10.3,---
