地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/04/09,00:00:44.0,福島県沖,37°48.0′N,142°15.0′E,31 km,1.7,---
2024/04/09,00:03:29.6,能登半島沖,37°15.0′N,136°44.0′E,6 km,1.9,---
2024/04/09,00:04:40.7,石川県能登地方,37°24.0′N,136°52.0′E,0 km,0.4,---
2024/04/09,00:05:08.1,青森県東方沖,40°53.0′N,143°23.0′E,21 km,1.7,---
2024/04/09,00:05:45.0,福島県沖,37°18.0′N,141°47.0′E,38 km,2,---
2024/04/09,00:05:55.0,福島県沖,37°17.0′N,141°54.0′E,39 km,2,---
2024/04/09,00:07:15.8,石川県能登地方,37°26.0′N,137°11.0′E,13 km,0.2,---
2024/04/09,00:10:01.1,石川県能登地方,37°11.0′N,136°44.0′E,9 km,0.4,---
2024/04/09,00:10:04.4,栃木県北部,37°8.0′N,139°55.0′E,4 km,0.8,---
2024/04/09,00:10:10.8,大隅半島東方沖,31°34.0′N,131°28.0′E,39 km,2.7,---
2024/04/09,00:11:12.4,能登半島沖,37°32.0′N,137°12.0′E,12 km,-10.3,---
2024/04/09,00:11:54.7,能登半島沖,37°33.0′N,137°15.0′E,12 km,-10.2,---
2024/04/09,00:13:10.2,石川県能登地方,37°28.0′N,137°9.0′E,13 km,0.4,---
2024/04/09,00:16:05.5,福島県沖,37°51.0′N,141°36.0′E,49 km,1.7,---
2024/04/09,00:16:51.8,福島県沖,37°22.0′N,141°54.0′E,38 km,1.9,---
2024/04/09,00:18:35.5,大隅半島東方沖,31°35.0′N,131°30.0′E,41 km,0.6,---
2024/04/09,00:19:08.2,石川県能登地方,37°22.0′N,136°58.0′E,9 km,-10.1,---
2024/04/09,00:20:26.9,石川県能登地方,37°28.0′N,137°15.0′E,12 km,0.2,---
2024/04/09,00:22:08.2,福島県沖,37°10.0′N,142°4.0′E,28 km,1.1,---
2024/04/09,00:25:47.4,福島県沖,37°40.0′N,141°53.0′E,40 km,0.7,---
2024/04/09,00:25:54.7,三陸沖,39°25.0′N,143°38.0′E,12 km,1.5,---
2024/04/09,00:26:55.4,茨城県沖,36°42.0′N,141°31.0′E,33 km,1.4,---
2024/04/09,00:27:29.6,長野県中部,36°15.0′N,137°39.0′E,3 km,0.1,---
2024/04/09,00:28:45.6,石川県能登地方,37°21.0′N,136°52.0′E,0 km,0.2,---
2024/04/09,00:29:38.6,岩手県沖,39°38.0′N,142°6.0′E,47 km,1,---
2024/04/09,00:30:03.0,長野県北部,36°36.0′N,137°55.0′E,12 km,-10.4,---
2024/04/09,00:30:31.6,石川県能登地方,37°23.0′N,137°6.0′E,11 km,-10.2,---
2024/04/09,00:34:30.9,駿河湾,34°42.0′N,138°41.0′E,16 km,0.2,---
2024/04/09,00:37:30.6,台湾付近,24°5.0′N,121°58.0′E,47 km,2.7,---
2024/04/09,00:37:44.1,鹿児島湾,31°33.0′N,130°38.0′E,29 km,0.6,---
2024/04/09,00:42:30.0,大隅半島東方沖,31°10.0′N,131°22.0′E,32 km,1.3,---
2024/04/09,00:43:48.0,新潟県中越地方,37°23.0′N,138°46.0′E,10 km,0.8,---
2024/04/09,00:44:12.9,石川県能登地方,37°29.0′N,137°9.0′E,11 km,0,---
2024/04/09,00:44:24.0,福島県沖,37°52.0′N,141°35.0′E,47 km,0.9,---
2024/04/09,00:44:26.8,岐阜県美濃中西部,35°55.0′N,136°54.0′E,8 km,0.4,---
2024/04/09,00:45:10.0,富山県東部,36°26.0′N,137°34.0′E,1 km,0.9,---
2024/04/09,00:47:23.9,大隅半島東方沖,31°35.0′N,131°29.0′E,40 km,0.5,---
2024/04/09,00:50:38.5,石川県能登地方,37°11.0′N,136°47.0′E,8 km,0.1,---
2024/04/09,00:53:29.5,石川県能登地方,37°13.0′N,136°50.0′E,11 km,0.2,---
2024/04/09,00:53:45.7,石川県能登地方,37°27.0′N,137°13.0′E,12 km,1,---
2024/04/09,00:54:55.4,栃木県南部,36°15.0′N,139°47.0′E,58 km,0.5,---
2024/04/09,00:57:58.2,石川県能登地方,37°13.0′N,136°50.0′E,11 km,-10.5,---
2024/04/09,00:58:54.6,新潟県上中越沖,37°24.0′N,137°34.0′E,0 km,0.8,---
2024/04/09,01:01:01.3,石川県能登地方,37°29.0′N,137°9.0′E,12 km,0.3,---
2024/04/09,01:01:51.6,静岡県西部,34°59.0′N,137°50.0′E,19 km,0.2,---
2024/04/09,01:02:50.0,石川県西方沖,37°5.0′N,136°33.0′E,5 km,0.3,---
2024/04/09,01:03:57.7,石川県能登地方,37°25.0′N,137°11.0′E,6 km,1.4,---
2024/04/09,01:04:15.9,長崎県北部,33°4.0′N,129°50.0′E,12 km,0.2,---
2024/04/09,01:04:51.9,台湾付近,23°49.0′N,121°48.0′E,47 km,2.3,---
2024/04/09,01:05:03.4,福島県会津,37°45.0′N,139°60.0′E,9 km,0.8,---
2024/04/09,01:08:00.7,三陸沖,39°25.0′N,143°43.0′E,22 km,1.6,---
2024/04/09,01:08:11.5,石川県能登地方,37°30.0′N,137°13.0′E,8 km,0.6,---
2024/04/09,01:10:05.5,福島県沖,37°9.0′N,142°12.0′E,19 km,1.1,---
2024/04/09,01:11:39.3,宮城県沖,37°53.0′N,141°38.0′E,47 km,1,---
2024/04/09,01:12:03.4,岩手県沿岸北部,40°9.0′N,141°41.0′E,74 km,0.4,---
2024/04/09,01:12:43.0,福島県中通り,37°8.0′N,140°39.0′E,8 km,-10.1,---
2024/04/09,01:13:12.1,豊後水道,33°4.0′N,132°1.0′E,42 km,0.8,---
2024/04/09,01:15:06.2,石川県能登地方,37°12.0′N,136°51.0′E,8 km,1,---
2024/04/09,01:16:35.5,紀伊水道,34°10.0′N,135°3.0′E,8 km,1.1,---
2024/04/09,01:18:17.8,富山湾,37°25.0′N,137°16.0′E,15 km,0.4,---
2024/04/09,01:26:32.9,福島県沖,37°52.0′N,141°35.0′E,48 km,0.8,---
2024/04/09,01:38:13.5,奄美大島近海,27°28.0′N,130°6.0′E,60 km,2.8,---
2024/04/09,01:39:45.8,石川県能登地方,37°20.0′N,136°57.0′E,9 km,0,---
2024/04/09,01:39:55.4,宮崎県北部平野部,32°30.0′N,131°41.0′E,17 km,0.6,---
2024/04/09,01:42:39.1,石川県能登地方,37°10.0′N,136°47.0′E,8 km,1.2,---
2024/04/09,01:46:13.3,三陸沖,38°4.0′N,142°56.0′E,8 km,1.2,---
2024/04/09,01:47:06.3,石川県能登地方,37°29.0′N,137°8.0′E,13 km,0.3,---
2024/04/09,01:47:48.7,石川県能登地方,37°21.0′N,136°52.0′E,7 km,0,---
2024/04/09,01:49:16.7,浦河沖,42°7.0′N,142°19.0′E,35 km,1,---
2024/04/09,01:50:18.3,石川県能登地方,37°28.0′N,137°15.0′E,11 km,0.9,---
2024/04/09,01:51:49.1,熊本県熊本地方,32°44.0′N,131°11.0′E,9 km,0.2,---
2024/04/09,02:00:20.2,石川県能登地方,37°10.0′N,136°48.0′E,7 km,0.5,---
2024/04/09,02:00:46.8,岩手県沖,39°3.0′N,142°30.0′E,20 km,1.3,---
2024/04/09,02:07:20.7,石川県能登地方,37°29.0′N,137°9.0′E,9 km,1,---
2024/04/09,02:08:38.7,福島県沖,37°49.0′N,141°37.0′E,48 km,0.5,---
2024/04/09,02:11:07.1,福島県沖,37°45.0′N,141°53.0′E,14 km,1,---
2024/04/09,02:12:05.7,石川県能登地方,37°31.0′N,137°15.0′E,8 km,1,---
2024/04/09,02:14:21.9,佐渡付近,37°52.0′N,137°43.0′E,18 km,0.7,---
2024/04/09,02:14:33.0,石川県能登地方,37°28.0′N,137°14.0′E,13 km,0.9,---
2024/04/09,02:15:13.0,石川県能登地方,37°19.0′N,136°47.0′E,12 km,0.1,---
2024/04/09,02:16:02.6,石川県能登地方,37°9.0′N,136°45.0′E,8 km,0.5,---
2024/04/09,02:17:27.4,石川県能登地方,37°12.0′N,136°43.0′E,4 km,0.2,---
2024/04/09,02:18:21.5,石川県能登地方,37°9.0′N,136°45.0′E,8 km,0.3,---
