地震の発生日時,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/07/26 00:02:28.8,沖縄本島近海,26.765,127.21,14,2.1,-
2024/07/26 00:02:34.8,福島県中通り,37.05833333333333,140.46166666666667,8,0.8,-
2024/07/26 00:04:05.6,沖縄本島近海,26.765,127.225,14,1.4,-
2024/07/26 00:04:13.4,愛知県西部,35.108333333333334,137.24666666666667,41,0.1,-
2024/07/26 00:12:28.2,石川県能登地方,37.37166666666667,136.89833333333334,11,0.4,-
2024/07/26 00:15:24.8,岐阜県美濃東部,35.36,137.37333333333333,49,0.3,-
2024/07/26 00:16:03.7,択捉島南東沖,44.016666666666666,148.46333333333334,104,2.1,-
2024/07/26 00:19:52.0,兵庫県南西部,34.83833333333333,134.46,9,0.8,-
2024/07/26 00:20:22.2,能登半島沖,37.66,137.37666666666667,13,1.3,-
2024/07/26 00:22:40.5,三陸沖,40.82833333333333,145.09333333333333,29,1.4,-
2024/07/26 00:23:40.3,石川県能登地方,37.31333333333333,136.82,8,0.3,-
2024/07/26 00:24:41.3,橘湾,32.615,129.87,12,0.2,-
2024/07/26 00:24:45.9,三陸沖,39.01,144.66333333333333,13,0.9,-
2024/07/26 00:27:03.7,熊本県熊本地方,32.54833333333333,130.73333333333332,7,0.6,-
2024/07/26 00:27:45.7,三陸沖,40.17666666666667,144.38333333333333,34,0.9,-
2024/07/26 00:31:37.9,福島県沖,37.755,141.72166666666666,52,1.2,-
2024/07/26 00:37:32.6,房総半島南方沖,34.48,140.33666666666667,33,1.2,-
2024/07/26 00:39:20.5,岩手県沖,39.083333333333336,142.43333333333334,28,1.1,-
2024/07/26 00:40:11.3,岡山県北部,34.901666666666664,134.15666666666667,16,0.1,-
2024/07/26 00:40:42.3,宮古島北西沖,25.971666666666668,125.54666666666667,12,2.8,-
2024/07/26 00:41:17.5,長野県中部,36.138333333333335,137.87,5,-10.5,-
2024/07/26 00:48:15.7,三陸沖,39.42,143.65666666666667,7,1.2,-
2024/07/26 00:50:24.2,橘湾,32.61833333333333,130.04,15,0.3,-
2024/07/26 00:51:42.1,新潟県中越地方,37.266666666666666,139.005,10,0.3,-
2024/07/26 00:55:06.9,択捉島南東沖,43.93833333333333,148.27833333333334,0,3,-
2024/07/26 00:55:45.2,石川県能登地方,37.35666666666667,137.005,5,0.6,-
2024/07/26 00:56:07.9,岩手県沿岸北部,39.696666666666665,141.895,14,1.5,-
2024/07/26 00:57:30.3,青森県三八上北地方,40.48833333333334,141.47,99,1,-
2024/07/26 01:01:36.3,岩手県沖,39.69,142.125,48,2.8,-
2024/07/26 01:02:45.6,山梨県東部・富士五湖,35.50333333333333,138.98666666666668,18,1,-
2024/07/26 01:04:34.8,北海道北西沖,44.385,141.58166666666668,0,0.5,-
2024/07/26 01:06:22.4,茨城県沖,36.04333333333334,141.20833333333334,11,1.4,-
2024/07/26 01:06:36.0,福島県沖,37.693333333333335,141.53,52,0.9,-
2024/07/26 01:09:25.3,宮崎県北部山沿い,32.608333333333334,131.25333333333333,13,0.4,-
2024/07/26 01:10:49.5,山梨県東部・富士五湖,35.495,138.99333333333334,19,0.2,-
2024/07/26 01:19:50.4,日向灘,32.04,131.905,37,1.2,-
2024/07/26 01:20:21.1,石川県能登地方,37.45666666666666,137.21166666666667,13,1.4,-
2024/07/26 01:22:01.9,長野県中部,36.348333333333336,137.975,9,-10.1,-
2024/07/26 01:22:52.9,石川県能登地方,37.46,137.205,13,0.7,-
2024/07/26 01:24:31.3,新潟県上中越沖,37.61833333333333,137.515,14,1.2,-
2024/07/26 01:27:29.7,愛媛県南予,33.515,132.47833333333332,39,0.3,-
2024/07/26 01:27:49.8,長野県中部,36.23,137.94833333333332,9,-10.5,-
2024/07/26 01:30:08.6,富山湾,37.00833333333333,137.51666666666668,17,1.2,-
2024/07/26 01:30:44.4,茨城県沖,36.595,140.96166666666667,8,1,-
2024/07/26 01:35:58.5,静岡県西部,35.025,137.76833333333335,19,-10.2,-
2024/07/26 01:49:08.1,宮城県沖,38.375,141.67833333333334,56,0.8,-
2024/07/26 01:50:08.4,福井県嶺北,35.87166666666667,136.775,10,0.8,-
2024/07/26 01:53:20.5,宗谷地方北部,45.035,141.93666666666667,0,0.9,-
2024/07/26 01:56:04.7,滋賀県南部,34.905,136.33166666666668,11,0.3,-
2024/07/26 01:58:36.3,愛知県西部,34.888333333333335,137.03666666666666,12,0.1,-
2024/07/26 01:58:49.3,宮古島近海,25.281666666666666,124.92333333333333,0,1.9,-
2024/07/26 01:59:26.0,宮古島近海,25.261666666666667,124.92,3,2.5,-
2024/07/26 02:04:16.2,沖縄本島近海,26.79,127.18833333333333,10,1.9,-
2024/07/26 02:04:40.9,沖縄本島近海,26.788333333333334,127.2,9,2.1,-
2024/07/26 02:06:27.0,天草灘,32.065,129.98666666666668,10,0.2,-
2024/07/26 02:11:01.0,天草灘,32.06666666666667,129.98166666666665,11,0.3,-
2024/07/26 02:12:35.0,千葉県東方沖,35.74333333333333,140.89166666666668,11,1.5,-
2024/07/26 02:13:32.1,能登半島沖,37.51166666666666,137.185,9,0.8,-
2024/07/26 02:15:12.1,福島県沖,36.906666666666666,140.99,24,0.4,-
2024/07/26 02:15:33.0,滋賀県北部,35.30833333333333,136.40666666666667,16,0.1,-
2024/07/26 02:15:36.2,和歌山県北部,34.02166666666667,135.28166666666667,7,0,-
2024/07/26 02:16:58.9,宮城県沖,38.895,142.46,42,2,-
2024/07/26 02:17:49.1,茨城県沖,36.775,141.33166666666668,12,0.9,-
2024/07/26 02:18:13.2,与那国島近海,24.345,122.95833333333333,62,1.8,-
2024/07/26 02:21:53.0,内浦湾,42.51,140.64,141,1.6,-
2024/07/26 02:29:49.6,新潟県上中越沖,37.608333333333334,138.57666666666665,24,1,-
2024/07/26 02:30:54.6,長野県中部,36.235,137.93,9,-10.7,-
2024/07/26 02:34:28.4,天草灘,32.49666666666667,129.93,11,0.6,-
2024/07/26 02:35:05.8,石川県能登地方,37.35666666666667,137,10,0.8,-
2024/07/26 02:38:25.6,岩手県沿岸北部,40.145,141.69333333333333,74,0.7,-
2024/07/26 02:41:19.4,千葉県南東沖,34.623333333333335,140.66333333333333,43,1,-
2024/07/26 02:41:33.8,十勝地方中部,42.74166666666667,143.36666666666667,44,0,-
2024/07/26 02:41:38.1,千葉県北西部,35.695,140.09333333333333,69,0.7,-
2024/07/26 02:42:13.6,三陸沖,37.846666666666664,144.25333333333333,29,0.9,-
2024/07/26 02:43:20.1,福島県沖,37.39,141.72333333333333,42,1,-
2024/07/26 02:48:57.7,福島県沖,37.395,141.92666666666668,36,1.3,-
2024/07/26 02:54:06.4,和歌山県北部,34.208333333333336,135.18666666666667,6,0.4,-
2024/07/26 02:55:53.9,茨城県沖,36.303333333333335,141.19166666666666,21,1.1,-
2024/07/26 02:58:44.9,千葉県東方沖,35.83166666666666,140.9,31,0.8,-
2024/07/26 02:58:48.7,和歌山県南部,33.906666666666666,135.44166666666666,49,0.7,-
2024/07/26 03:02:38.8,岩手県沖,39.885,142.14,13,0.8,-
2024/07/26 03:03:05.9,福島県浜通り,37.045,140.75,75,0.5,-
2024/07/26 03:07:18.8,石川県能登地方,37.266666666666666,136.76,8,0.8,-
2024/07/26 03:14:43.0,北海道東方沖,43.94166666666667,147.68,38,2.2,-
2024/07/26 03:20:12.8,能登半島沖,37.585,137.48833333333334,13,0.9,-
2024/07/26 03:22:47.7,長野県南部,35.843333333333334,138.04166666666666,9,0.1,-
2024/07/26 03:24:09.3,青森県津軽南部,40.696666666666665,140.34333333333333,170,2.2,-
2024/07/26 03:25:47.8,熊本県熊本地方,32.805,130.62166666666667,10,0.1,-
2024/07/26 03:25:58.0,天草灘,32.358333333333334,129.86833333333334,9,0.5,-
2024/07/26 03:26:55.8,福島県沖,37.68666666666667,141.535,54,1.1,-
2024/07/26 03:27:31.6,石川県能登地方,37.23166666666667,136.82833333333335,8,0.2,-
2024/07/26 03:27:58.7,石川県能登地方,37.345,136.94,9,0.8,-
2024/07/26 03:31:34.1,和歌山県北部,34.14333333333333,135.13666666666666,5,0.2,-
2024/07/26 03:31:46.1,茨城県沖,36.39666666666667,140.78166666666667,45,0.7,-
2024/07/26 03:33:34.5,北海道西方沖,43.556666666666665,140.71333333333334,9,1.4,-
2024/07/26 03:35:33.8,愛媛県南予,33.458333333333336,132.26833333333335,43,0.5,-
2024/07/26 03:37:13.5,茨城県北部,36.83166666666666,140.77,87,0.8,-
2024/07/26 03:38:44.4,福島県沖,37.2,142.14333333333335,22,3,-
2024/07/26 03:41:15.8,能登半島沖,37.586666666666666,137.385,5,0.1,-
2024/07/26 03:42:08.3,長野県南部,35.83,138.01,10,-10.2,-
2024/07/26 03:43:29.4,宮城県沖,38.645,142.17166666666665,42,2.1,-
2024/07/26 03:45:07.8,和歌山県南部,33.89,135.84166666666667,16,-10.1,-
2024/07/26 03:52:42.7,台湾付近,24.025,121.76,15,3.8,-
2024/07/26 03:54:49.7,石川県能登地方,37.276666666666664,136.83833333333334,10,0.1,-
2024/07/26 03:55:18.4,富山湾,37,137.51166666666666,16,1.1,-
2024/07/26 03:55:18.9,茨城県沖,36.56166666666667,141.03166666666667,21,1.6,-
2024/07/26 03:57:48.7,福島県沖,37.20166666666667,142.14666666666668,21,1.4,-
2024/07/26 04:04:07.9,岐阜県美濃中西部,35.825,136.89666666666668,10,0.7,-
2024/07/26 04:07:43.2,能登半島沖,37.19,136.68,8,0.6,-
2024/07/26 04:10:45.5,能登半島沖,37.575,137.36666666666667,5,0.2,-
2024/07/26 04:14:58.0,和歌山県北部,34.211666666666666,135.185,7,0.9,-
2024/07/26 04:18:36.9,福島県沖,37.66,141.69333333333333,44,1.2,-
2024/07/26 04:19:49.9,和歌山県南方沖,33.545,135.43,30,0.2,-
2024/07/26 04:19:52.3,茨城県沖,36.415,141.14,36,1.4,-
2024/07/26 04:23:47.4,茨城県沖,36.77333333333333,141.36166666666668,10,0.7,-
2024/07/26 04:24:02.7,能登半島沖,37.105,136.63,9,0.4,-
2024/07/26 04:25:04.6,沖縄本島近海,26.765,127.215,14,2.1,-
2024/07/26 04:26:23.3,富山湾,37.00333333333333,137.515,16,0.8,-
2024/07/26 04:34:42.3,青森県東方沖,41.165,143.01666666666668,23,1,-
2024/07/26 04:34:44.4,佐渡付近,37.821666666666665,137.69166666666666,20,2.1,-
2024/07/26 04:36:09.2,天草灘,32.36833333333333,129.885,13,0.5,-
2024/07/26 04:36:36.9,日向灘,31.64666666666667,131.86166666666668,15,1,-
2024/07/26 04:36:55.8,三陸沖,38.60333333333333,143.46166666666667,3,2,-
2024/07/26 04:39:24.7,東京湾,35.51,139.97666666666666,38,0.9,-
