地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/05/31,00:01:53.8,奄美大島北東沖,29°11.0′N,130°33.0′E,19 km,-1,---
2024/05/31,00:02:55.3,与那国島近海,24°45.0′N,122°54.0′E,129 km,1.9,---
2024/05/31,00:04:32.7,熊本県熊本地方,32°34.0′N,130°38.0′E,13 km,0.1,---
2024/05/31,00:04:37.2,群馬県北部,36°40.0′N,139°18.0′E,8 km,0.7,---
2024/05/31,00:06:06.6,橘湾,32°43.0′N,130°10.0′E,15 km,0.2,---
2024/05/31,00:12:34.3,福島県沖,37°15.0′N,142°1.0′E,28 km,1.7,---
2024/05/31,00:14:03.6,福島県沖,37°14.0′N,142°2.0′E,30 km,0.7,---
2024/05/31,00:14:40.5,新潟県上中越沖,37°19.0′N,137°38.0′E,248 km,2.2,---
2024/05/31,00:15:32.9,能登半島沖,37°33.0′N,137°13.0′E,12 km,-10.1,---
2024/05/31,00:15:57.6,茨城県南部,36°2.0′N,139°57.0′E,42 km,0.8,---
2024/05/31,00:16:15.3,石川県能登地方,37°31.0′N,137°19.0′E,13 km,-10.1,---
2024/05/31,00:18:13.4,高知県中部,33°46.0′N,133°29.0′E,3 km,0.9,---
2024/05/31,00:18:51.8,能登半島沖,37°32.0′N,137°10.0′E,7 km,0,---
2024/05/31,00:25:35.8,石川県能登地方,37°13.0′N,136°48.0′E,11 km,0.1,---
2024/05/31,00:25:51.3,茨城県北部,36°42.0′N,140°35.0′E,12 km,0.6,---
2024/05/31,00:26:24.7,留萌地方中北部,44°38.0′N,141°57.0′E,14 km,0.2,---
2024/05/31,00:27:10.2,八丈島東方沖,33°19.0′N,140°51.0′E,56 km,4.1,---
2024/05/31,00:27:19.9,石川県能登地方,37°22.0′N,137°6.0′E,11 km,0.2,---
2024/05/31,00:27:32.2,福島県沖,37°15.0′N,142°1.0′E,31 km,1.5,---
2024/05/31,00:28:14.8,高知県東部,33°38.0′N,133°58.0′E,30 km,0.5,---
2024/05/31,00:28:20.1,三重県南東沖,33°41.0′N,136°57.0′E,375 km,3,---
2024/05/31,00:33:14.4,茨城県沖,36°29.0′N,141°6.0′E,42 km,2.3,---
2024/05/31,00:35:37.1,福島県浜通り,37°1.0′N,140°39.0′E,6 km,1.9,---
2024/05/31,00:35:58.7,福島県沖,37°1.0′N,142°6.0′E,14 km,1.4,---
2024/05/31,00:36:37.7,佐渡付近,37°49.0′N,137°50.0′E,0 km,0.3,---
2024/05/31,00:37:38.5,紀伊水道,33°48.0′N,134°54.0′E,14 km,0,---
2024/05/31,00:38:00.4,福島県浜通り,37°1.0′N,140°39.0′E,6 km,0,---
