地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2023/10/02,00:05:30.1,福島県沖,37°28.0′N,144°44.0′E,34 km,3,---
2023/10/02,00:08:19.3,和歌山県北部,34°9.0′N,135°19.0′E,7 km,0,---
2023/10/02,00:13:18.8,福島県沖,37°8.0′N,142°15.0′E,18 km,1.5,---
2023/10/02,00:13:38.9,大分県西部,33°6.0′N,131°12.0′E,3 km,0.4,---
2023/10/02,00:14:33.2,日向灘,31°59.0′N,131°31.0′E,39 km,0.8,---
2023/10/02,00:18:48.4,釧路地方中南部,43°20.0′N,143°57.0′E,3 km,1.2,---
2023/10/02,00:21:54.8,日本海中部,37°10.0′N,135°13.0′E,369 km,3.1,---
2023/10/02,00:24:36.5,四国沖,33°22.0′N,134°48.0′E,31 km,0.7,---
2023/10/02,00:27:02.9,釧路沖,42°52.0′N,145°29.0′E,42 km,1.1,---
2023/10/02,00:29:12.8,三陸沖,37°52.0′N,144°31.0′E,12 km,2.3,---
2023/10/02,00:29:59.0,宮城県沖,38°39.0′N,142°7.0′E,37 km,1.2,---
2023/10/02,00:30:41.3,岐阜県飛騨地方,35°41.0′N,137°6.0′E,10 km,0.6,---
2023/10/02,00:33:27.0,日向灘,31°60.0′N,131°45.0′E,30 km,0.9,---
2023/10/02,00:33:43.6,三陸沖,37°52.0′N,144°31.0′E,12 km,1.9,---
2023/10/02,00:36:12.3,鳥島近海,29°47.0′N,140°45.0′E,85 km,3.6,---
2023/10/02,00:36:15.3,新島・神津島近海,34°25.0′N,139°14.0′E,6 km,1.3,---
2023/10/02,00:47:39.7,福島県沖,37°19.0′N,141°48.0′E,40 km,1.1,---
2023/10/02,00:50:10.2,和歌山県北部,33°60.0′N,135°28.0′E,54 km,2,---
2023/10/02,00:50:49.6,鹿児島県薩摩地方,31°27.0′N,130°29.0′E,158 km,1.8,---
2023/10/02,00:51:17.4,紀伊水道,34°13.0′N,135°4.0′E,9 km,0.5,---
2023/10/02,00:51:46.8,福島県沖,37°28.0′N,142°9.0′E,29 km,1.3,---
2023/10/02,00:57:26.8,福島県沖,37°22.0′N,141°31.0′E,22 km,1.3,---
2023/10/02,00:58:47.3,茨城県沖,36°38.0′N,141°5.0′E,28 km,1.4,---
2023/10/02,01:01:01.3,栃木県北部,36°38.0′N,139°27.0′E,7 km,-10.1,---
2023/10/02,01:01:30.0,京都府南部,35°9.0′N,135°28.0′E,11 km,0.8,---
2023/10/02,01:02:07.8,宮城県沖,37°54.0′N,142°28.0′E,19 km,1.3,---
2023/10/02,01:09:58.6,福島県沖,37°8.0′N,142°19.0′E,10 km,1.4,---
2023/10/02,01:11:05.1,日高地方西部,42°29.0′N,142°7.0′E,25 km,0.8,---
2023/10/02,01:13:16.5,和歌山県北部,34°15.0′N,135°13.0′E,6 km,1.3,---
2023/10/02,01:14:58.5,駿河湾,34°39.0′N,138°36.0′E,15 km,0.8,---
2023/10/02,01:18:04.1,釧路地方中南部,43°23.0′N,144°34.0′E,148 km,2,---
2023/10/02,01:19:05.8,山梨県中・西部,35°32.0′N,138°18.0′E,13 km,-10.4,---
2023/10/02,01:27:35.0,薩摩半島西方沖,31°59.0′N,129°23.0′E,6 km,1,---
2023/10/02,01:31:08.4,熊本県熊本地方,32°47.0′N,130°39.0′E,12 km,0.3,---
2023/10/02,01:37:17.8,東京湾,35°14.0′N,139°48.0′E,128 km,2,---
2023/10/02,01:37:51.1,岩手県内陸北部,40°15.0′N,141°4.0′E,7 km,0.4,---
2023/10/02,01:47:44.1,福島県沖,37°52.0′N,141°35.0′E,50 km,0.9,---
2023/10/02,01:52:17.6,宮城県沖,38°1.0′N,142°41.0′E,17 km,1.1,---
2023/10/02,01:58:28.8,有明海,32°47.0′N,130°34.0′E,11 km,0.1,---
2023/10/02,01:58:38.5,千葉県東方沖,35°37.0′N,141°1.0′E,21 km,1.2,---
2023/10/02,02:00:23.1,愛知県西部,35°16.0′N,136°43.0′E,18 km,0.8,---
2023/10/02,02:01:50.4,熊本県熊本地方,32°43.0′N,130°37.0′E,11 km,0.2,---
2023/10/02,02:09:19.4,千葉県東方沖,35°23.0′N,140°27.0′E,58 km,1.4,---
2023/10/02,02:09:41.1,与那国島近海,24°44.0′N,122°31.0′E,41 km,2.2,---
2023/10/02,02:13:09.7,長野県北部,36°40.0′N,138°8.0′E,198 km,2.2,---
2023/10/02,02:16:05.1,岐阜県飛騨地方,36°4.0′N,137°32.0′E,5 km,0.6,---
2023/10/02,02:17:48.2,栃木県南部,36°20.0′N,139°43.0′E,71 km,0.3,---
2023/10/02,02:18:05.3,滋賀県南部,34°59.0′N,136°1.0′E,9 km,0.1,---
2023/10/02,02:18:36.0,茨城県沖,36°44.0′N,141°30.0′E,36 km,1.2,---
